,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1949,AAFC,Chicago Hornets,4,8,0,5th of 7,,179,268,-89,Flaherty,,Hoernschemeyer,Hoernschemeyer,Edwards,6,7,5,5,2,6,6,7,-7.4,1.5,-5.9,-6.2,0.3
1,1948,AAFC,Chicago Rockets,1,13,0,4th of 4,,202,439,-237,McKeever,,Freitas,Prokop,King,8,7,8,7,8,8,8,8,-16.9,2.1,-14.8,-7.3,-7.5
2,1947,AAFC,Chicago Rockets,1,13,0,4th of 4,,263,425,-162,"Pool,Crowley",,Vacanti,Daley,Ramsey,6,6,8,8,8,7,7,8,-11.6,1.4,-10.1,-1.1,-9.0
3,1946,AAFC,Chicago Rockets,5,6,3,4th of 4,,263,315,-52,"Wilkin,Mathews,Dove,Boland,Hanley",,Hoernschemeyer,Hoernschemeyer,Hirsch,5,5,5,4,2,5,5,8,-3.7,0.5,-3.3,-0.6,-2.7
