Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1920,28,CHT,APFA,8,2,5,1,.286,-4.3,-3.2,-1.1,,,,,11,
1922,30,TOL,NFL,9,5,2,2,.714,-5.0,-3.5,-1.5,,,,,4,
1923,31,TOL,NFL,8,3,3,2,.500,-4.6,-6.4,1.8,,,,,10,
