,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1967,35,DET,NFL,14,5,7,2,.417,1.8,-1.6,3.4,,,,,3,
1,1968,36,DET,NFL,14,4,8,2,.333,-2.0,-5.2,3.2,,,,,4,
2,1969,37,DET,NFL,14,9,4,1,.692,6.6,-1.2,7.9,,,,,2,
3,1970,38,DET,NFL,14,10,4,0,.714,14.0,7.4,6.6,1,0,1,.000,2,
4,1971,39,DET,NFL,14,7,6,1,.538,4.1,6.5,-2.4,,,,,2,
5,1972,40,DET,NFL,14,8,5,1,.607,4.4,4.4,0.0,,,,,2,
