Year,Age,Level,Employer,Role
1948,33,College,Lewis Coll.,Head Coach
1949,34,College,Lewis Coll.,Head Coach
1950,35,College,Lewis Coll.,Head Coach
1951,36,NFL,Green Bay Packers,Backfield Coach
1952,37,NFL,Green Bay Packers,Backfield Coach
1953,38,NFL,Green Bay Packers,Head Coach
1954,39,NFL,Green Bay Packers,Backfield Coach
1955,40,NFL,Green Bay Packers,Backfield Coach
1956,41,NFL,Green Bay Packers,Backfield Coach
1957,42,NFL,Green Bay Packers,Backfield Coach
1958,43,NFL,Green Bay Packers,Head Coach
1959,44,NFL,Detroit Lions,Backfield Coach
1960,45,NFL,Detroit Lions,Backfield Coach
1961,46,NFL,Detroit Lions,Backfield Coach
1962,47,NFL,Detroit Lions,Backfield Coach
1963,48,NFL,Detroit Lions,Backfield Coach
