Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1953,38,GNB,NFL,2,0,2,0,.000,-9.8,-4.4,-5.4,,,,,6,co-coach with Hugh Devore
1958,43,GNB,NFL,12,1,10,1,.091,-13.0,-5.5,-7.4,,,,,6,
