Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1953,GNB,HC,12,11,7,10,9,9,9,9,5,6,5,7,2,5,10,12,11,11,9,11,3,8,9,11,11,3,1,7,5,4,9
1958,GNB,HC,12,12,10,12,12,11,12,10,10,10,12,5,6,6,8,8,10,12,11,12,9,10,11,11,11,2,8,10,11,12,11
