Year,Age,Level,Employer,Role
1981,22,College,Oregon,Graduate Assistant
1982,23,College,Stanford,Linebackers/Defensive Backs
1983,24,College,Stanford,Linebackers/Defensive Backs
1984,25,College,Rice,Linebackers/Defensive Backs
1985,26,College,Rice,Linebackers/Defensive Backs
1986,27,College,Louisiana State,Linebackers
1987,28,NFL,Denver Broncos,Special Teams/Linebackers
1988,29,NFL,Denver Broncos,Special Teams/Linebackers
1989,30,NFL,Denver Broncos,Special Teams/Linebackers
1990,31,NFL,Denver Broncos,Special Teams/Linebackers
1991,32,NFL,Denver Broncos,Special Teams/Linebackers
1992,33,NFL,Denver Broncos,Special Teams/Linebackers
1993,34,NFL,New York Giants,Defensive Coordinator
1994,35,NFL,New York Giants,Defensive Coordinator
1995,36,NFL,New York Giants,Defensive Coordinator
1996,37,NFL,New York Giants,Defensive Coordinator
1997,38,NFL,Washington Redskins,Defensive Coordinator
1998,39,NFL,Washington Redskins,Defensive Coordinator
1999,40,NFL,Washington Redskins,Defensive Coordinator
2000,41,NFL,New York Jets,Defensive Coordinator
2001,42,NFL,Baltimore Ravens,Wide Receivers
2002,43,NFL,Baltimore Ravens,Defensive Coordinator
2003,44,NFL,Baltimore Ravens,Defensive Coordinator
2004,45,NFL,Baltimore Ravens,Defensive Coordinator
2005,46,NFL,San Francisco 49ers,Head Coach
2006,47,NFL,San Francisco 49ers,Head Coach
2007,48,NFL,San Francisco 49ers,Head Coach
2008,49,NFL,San Francisco 49ers,Head Coach
2009,50,NFL,Denver Broncos,Defensive Coordinator
2010,51,NFL,Miami Dolphins,Defensive Coordinator
2011,52,NFL,Miami Dolphins,Defensive Coordinator
2012,53,NFL,Atlanta Falcons,Defensive Coordinator
2013,54,NFL,Atlanta Falcons,Defensive Coordinator
2014,55,NFL,Atlanta Falcons,Defensive Coordinator
2015,56,NFL,San Diego Chargers,Linebackers
2017,58,NFL,New Orleans Saints,Linebackers
2018,59,NFL,New Orleans Saints,Linebackers
2019,60,NFL,New Orleans Saints,Linebackers
2020,61,NFL,Dallas Cowboys,Defensive Coordinator
2023,64,USFL,Michigan Panthers,Head Coach
2024,65,UFL,Michigan Panthers,Head Coach
2025,66,UFL,Michigan Panthers,Head Coach
