,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1947,32,Baltimore Colts,AAFC,14,2,11,1,.154,-13.1,-8.6,-4.5,,,,,4,
1,1948,33,Baltimore Colts,AAFC,14,7,7,0,.500,0.4,1.1,-0.7,1,0,1,.000,1,
2,1949,34,Baltimore Colts,AAFC,4,0,4,0,.000,-12.3,-6.1,-6.2,,,,,7,
3,1951,36,Chicago Cardinals,NFL,2,1,1,0,.500,-3.9,-1.9,-1.9,,,,,6,co-coach with Phil Handler
