Year,Age,Level,Employer,Role
2010,26,NFL,Denver Broncos,Coaching Assistant
2011,27,NFL,Denver Broncos,Offensive Quality Control
2012,28,NFL,Denver Broncos,Offensive Quality Control
2013,29,NFL,Denver Broncos,Offensive Assistant
2014,30,NFL,Denver Broncos,Offensive Assistant
2015,31,NFL,Denver Broncos,Offensive Assistant
2016,32,NFL,Detroit Lions,Quarterbacks
2017,33,NFL,Detroit Lions,Quarterbacks
2018,34,NFL,Oakland Raiders,Quarterbacks
2019,35,NFL,Cincinnati Bengals,Offensive Coordinator
2020,36,NFL,Cincinnati Bengals,Offensive Coordinator
2021,37,NFL,Cincinnati Bengals,Offensive Coordinator
2022,38,NFL,Cincinnati Bengals,Offensive Coordinator
2023,39,NFL,Cincinnati Bengals,Offensive Coordinator
2024,40,NFL,Tennessee Titans,Head Coach
2025,41,NFL,Tennessee Titans,Head Coach
