,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1921,APFA,Muncie Flyers,0,2,0,18th of 21,,0,28,-28,Checkaye,,,,,18,1,14,1,1,17,1,21,-14.0,-19.0,-33.0,-27.5,-5.5
1,1920,APFA,Muncie Flyers,0,1,0,14th of 14,,0,45,-45,Huffine,,,,,14,1,14,1,1,14,1,14,-45.0,5.6,-39.4,-4.2,-35.1
