Year,Age,Level,Employer,Role
1996,37,NFL,Minnesota Vikings,Tight Ends
1997,38,NFL,Minnesota Vikings,Offensive Line
1998,39,NFL,Minnesota Vikings,Offensive Line
1999,40,NFL,Minnesota Vikings,Offensive Line
2000,41,NFL,Minnesota Vikings,Offensive Line
2001,42,NFL,Minnesota Vikings,Interim Head Coach/Offensive Line
2002,43,NFL,Minnesota Vikings,Head Coach
2003,44,NFL,Minnesota Vikings,Head Coach
2004,45,NFL,Minnesota Vikings,Head Coach
2005,46,NFL,Minnesota Vikings,Head Coach
2006,47,NFL,Jacksonville Jaguars,Assistant Head Coach/Offense
2007,48,NFL,Jacksonville Jaguars,Assistant Head Coach/Tight Ends
2008,49,NFL,Jacksonville Jaguars,Assistant Head Coach/Tight Ends
2009,50,NFL,Jacksonville Jaguars,Assistant Head Coach/Tight Ends
2010,51,NFL,Chicago Bears,Offensive Line
2011,52,NFL,Chicago Bears,Offensive Line
2012,53,NFL,Chicago Bears,Offensive Coordinator
2014,55,NFL,Atlanta Falcons,Offensive Line
2015,56,NFL,Oakland Raiders,Offensive Line
2016,57,NFL,Oakland Raiders,Offensive Line
2017,58,NFL,Oakland Raiders,Offensive Line
