Year,Age,Level,Employer,Role
1980,24,College,Illinois,Graduate Assistant
1981,25,College,Illinois,Assistant Coach
1982,26,College,Illinois,Assistant Coach
1983,27,College,Illinois,Assistant Coach
1984,28,College,Illinois,Assistant Coach
1985,29,College,Illinois,Assistant Coach
1986,30,College,Illinois,Assistant Coach
1987,31,College,Northern Arizona University,Offensive Line
1988,32,College,Northern Arizona University,Offensive Line
1989,33,College,Southern Illinois,Offensive Coordinator
1990,34,College,Wisconsin,Offensive Line
1991,35,College,Wisconsin,Offensive Line
1992,36,College,Wisconsin,Offensive Line
1993,37,College,Wisconsin,Offensive Line
1994,38,College,Wisconsin,Offensive Line
1995,39,NFL,Philadelphia Eagles,Offensive Line
1996,40,NFL,Philadelphia Eagles,Offensive Line
1997,41,NFL,Philadelphia Eagles,Offensive Line
1998,42,NFL,Oakland Raiders,Offensive Coordinator/Tight Ends
1999,43,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line
2000,44,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line
2001,45,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line
2002,46,NFL,Oakland Raiders,Head Coach
2003,47,NFL,Oakland Raiders,Head Coach
2004,48,College,Nebraska,Head Coach
2005,49,College,Nebraska,Head Coach
2006,50,College,Nebraska,Head Coach
2007,51,College,Nebraska,Head Coach
2008,52,NFL,New York Jets,Assistant Head Coach/Offensive Line
2009,53,NFL,New York Jets,Assistant Head Coach
2010,54,NFL,New York Jets,Assistant Head Coach
2011,55,NFL,New York Jets,Assistant Head Coach
2012,56,NFL,Dallas Cowboys,Offensive Coordinator/Offensive Line
2013,57,NFL,Dallas Cowboys,Offensive Coordinator
2014,58,NFL,Dallas Cowboys,Offensive Coordinator/Offensive Line
2015,59,NFL,Washington Redskins,Offensive Line
2016,60,NFL,Washington Redskins,Offensive Line
2017,61,NFL,Washington Redskins,Asst. HC/Offensive Line
2018,62,NFL,Washington Redskins,Asst. HC/Offensive Line
2019,63,NFL,Washington Redskins,Asst. HC/Offensive Line/Interim HC
2020,64,NFL,Cleveland Browns,Offensive Line
2021,65,NFL,Cleveland Browns,Offensive Line
2022,66,NFL,Cleveland Browns,Offensive Line
2023,67,NFL,Cleveland Browns,Offensive Line
2024,68,NFL,Tennessee Titans,Offensive Line
2025,69,NFL,Tennessee Titans,Offensive Line
