Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2002,46,OAK,NFL,16,11,5,0,.688,10.6,6.3,4.3,3,2,1,.667,1,10,4,AFC Champions
2003,47,OAK,NFL,16,4,12,0,.250,-5.5,-4.2,-1.3,,,,,3,9,2,
2019,63,WAS,NFL,11,3,8,0,.273,-10.8,-6.3,-4.5,,,,,4,5,1,Interim coach after Week 5
