,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1998,OAK,OC,30,13,24,21,12,18,22,29,17,16,29,18,29,16,21,14,28,25,5,20,5,21,15,4,5,7,11,4,15,4,4
1,1999,OAK,OC,31,12,11,10,4,5,8,12,7,3,4,7,22,23,11,8,4,6,10,16,10,7,12,13,18,13,15,12,19,11,10
2,2000,OAK,OC,31,2,3,1,12,6,3,2,3,1,2,3,2,25,15,6,4,8,17,9,7,4,5,5,14,7,30,25,23,6,16
3,2001,OAK,OC,31,9,16,8,9,7,4,8,12,24,9,26,27,11,4,4,1,8,18,19,25,14,22,27,28,29,19,9,7,14,7
4,2002,OAK,HC,32,4,5,3,2,1,2,4,23,18,5,13,7,2,1,8,2,3,11,6,8,4,3,11,4,23,25,23,15,5,12
5,2003,OAK,HC,32,29,18,26,30,25,26,11,21,16,12,13,18,13,27,32,8,29,30,25,20,32,32,30,25,19,3,22,20,20,29
6,2012,DAL,OC,32,15,27,19,10,6,15,25,31,31,27,30,17,3,3,6,28,10,19,24,28,19,22,26,27,20,5,19,13,31,25
7,2013,DAL,OC,32,14,9,15,31,16,5,8,31,24,18,8,8,13,14,3,10,13,32,26,13,14,27,26,30,3,29,30,30,17,29
8,2014,DAL,OC,32,1,9,5,7,7,5,20,3,2,5,3,29,31,16,4,7,3,19,15,2,6,8,31,17,5,18,26,6,7,27
9,2019,WAS,HC,32,31,13,31,32,31,32,16,31,22,26,13,11,28,32,28,18,30,27,27,15,31,31,17,26,14,11,18,30,12,21
