,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1948,NFL,Boston Yanks,3,9,0,5th of 5,,174,372,-198,Smith,,Zimmerman,Paschal,Seno,9,10,8,10,8,9,10,10,-16.5,0.9,-15.6,-8.2,-7.4
1,1947,NFL,Boston Yanks,4,7,1,3rd of 5,,168,256,-88,Smith,,Dancewicz,Seno,Currivan,10,10,6,9,2,9,10,10,-7.3,-1.6,-8.9,-9.9,0.9
2,1946,NFL,Boston Yanks,2,8,1,5th of 5,,189,273,-84,Kopf,,Governali,Grigas,Crisler,6,7,9,9,7,9,9,10,-7.6,0.5,-7.1,-0.9,-6.2
3,1945,NFL,Bos/Bkn Yanks/Tigers,3,6,1,3rd of 5,,123,211,-88,Kopf,,Gudmundson,Manders,Currivan,8,9,7,6,3,8,9,10,-8.8,1.6,-7.2,-5.2,-1.9
4,1944,NFL,Boston Yanks,2,8,0,4th of 5,,82,233,-151,Kopf,,Cafego,Davis,Crowley,9,10,9,8,8,9,10,11,-15.1,3.9,-11.2,-6.9,-4.3
