Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1969,MIN,DC,16,1,3,1,2,10,1,4,2,4,5,13,5,13,12,2,6,8,1,1,2,2,2,2,1,7,10,1,1,1,1
1970,MIN,DC,26,1,4,1,1,19,3,11,3,14,3,24,19,19,14,19,7,8,1,1,1,5,5,1,5,5,10,1,1,2,1
1971,STL,HC,26,21,23,17,19,14,20,23,19,21,21,21,22,10,5,14,18,10,20,15,16,19,18,8,13,10,19,21,8,18,16
1972,STL,HC,26,19,23,21,24,25,23,24,25,26,22,26,16,15,18,20,19,18,25,18,19,25,20,7,11,8,19,25,12,23,22
1976,SEA,DC,28,26,28,26,25,19,21,27,28,28,14,21,15,1,7,19,28,15,28,28,24,28,28,24,27,25,13,25,28,18,25
1977,SEA,DC,28,19,24,23,21,12,8,23,25,15,15,4,8,4,8,1,28,8,27,28,12,26,26,25,23,23,13,27,26,6,28
1978,MIN,DC,28,13,24,13,15,17,12,26,28,28,25,28,10,1,2,3,27,19,14,20,8,11,10,21,12,3,19,19,9,13,15
1979,MIN,DC,28,18,21,22,21,19,24,20,23,23,28,24,13,2,12,7,20,22,18,17,22,24,26,25,22,26,5,11,4,13,17
1980,MIN,DC,28,11,3,14,20,11,15,1,26,27,18,22,1,3,3,13,10,11,26,11,13,17,25,14,27,13,16,24,20,11,22
1981,MIN,DC,28,17,25,18,10,6,13,26,28,28,28,20,22,1,2,4,26,19,17,21,19,20,15,12,9,10,8,18,23,24,23
1982,MIN,DC,28,10,7,16,15,14,13,5,23,22,17,15,2,3,5,6,13,16,19,20,17,9,14,12,19,14,20,19,13,14,13
1983,MIN,DC,28,13,2,20,21,20,18,5,21,20,10,21,2,7,13,23,11,26,19,17,4,26,25,18,26,3,6,6,18,9,5
1985,MIN,DC,28,16,18,16,20,16,14,25,28,27,9,23,14,4,7,11,26,12,16,17,5,23,22,14,14,3,9,15,12,12,20
