Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2008,55,WAS,NFL,16,8,8,0,.500,-1.8,-5.8,4.1,,,,,4,7,2,
2009,56,WAS,NFL,16,4,12,0,.250,-4.6,-5.5,1.0,,,,,4,5,4,
