Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1985,38,NOR,NFL,4,1,3,0,.250,-6.8,-3.0,-3.9,,,,,3,,,
1993,46,DEN,NFL,16,9,7,0,.563,5.0,4.6,0.4,1,0,1,.000,3,,,
1994,47,DEN,NFL,16,7,9,0,.438,-3.3,1.3,-4.6,,,,,4,,,
1998,51,BUF,NFL,16,10,6,0,.625,5.2,4.4,0.7,1,0,1,.000,3,,,
1999,52,BUF,NFL,16,11,5,0,.688,7.1,-0.2,7.4,1,0,1,.000,2,5,2,
2000,53,BUF,NFL,16,8,8,0,.500,0.0,0.5,-0.5,,,,,4,10,2,
2003,56,ATL,NFL,3,2,1,0,.667,-7.4,-2.0,-5.4,,,,,4,1,0,Coach starting week 15
2007,60,DAL,NFL,16,13,3,0,.813,9.5,7.8,1.7,1,0,1,.000,1,8,5,
2008,61,DAL,NFL,16,9,7,0,.563,0.6,1.7,-1.2,,,,,3,9,5,
2009,62,DAL,NFL,16,11,5,0,.688,7.1,0.4,6.7,2,1,1,.500,1,7,5,
2010,63,DAL,NFL,8,1,7,0,.125,-2.2,2.5,-4.7,,,,,3,6,2,Fired after Week 9
2013,66,HOU,NFL,3,0,3,0,.000,-7.6,-5.0,-2.6,,,,,4,0,0,
