Year,Age,Level,Employer,Role
1969,22,College (FBS),Houston,Graduate Assistant
1970,23,High School,Stark (TX),Defensive Coordinator
1971,24,High School,Stark (TX),Defensive Coordinator
1972,25,High School,Stark (TX),Defensive Coordinator
1973,26,College (FBS),Oklahoma State,Linebackers
1974,27,College (FBS),Oklahoma State,Linebackers
1975,28,College (FBS),Kansas,Defensive Line
1976,29,NFL,Houston Oilers,Linebackers
1977,30,NFL,Houston Oilers,Defensive Line
1978,31,NFL,Houston Oilers,Defensive Line
1979,32,NFL,Houston Oilers,Defensive Line
1980,33,NFL,Houston Oilers,Defensive Line
1981,34,NFL,New Orleans Saints,Defensive Coordinator
1982,35,NFL,New Orleans Saints,Defensive Coordinator
1983,36,NFL,New Orleans Saints,Defensive Coordinator
1984,37,NFL,New Orleans Saints,Defensive Coordinator
1985,38,NFL,New Orleans Saints,Defensive Coordinator/Interim HC
1986,39,NFL,Philadelphia Eagles,Defensive Coordinator
1987,40,NFL,Philadelphia Eagles,Defensive Coordinator
1988,41,NFL,Philadelphia Eagles,Defensive Coordinator
1989,42,NFL,Denver Broncos,Defensive Coordinator
1990,43,NFL,Denver Broncos,Defensive Coordinator
1991,44,NFL,Denver Broncos,Defensive Coordinator
1992,45,NFL,Denver Broncos,Defensive Coordinator
1993,46,NFL,Denver Broncos,Head Coach
1994,47,NFL,Denver Broncos,Head Coach
1995,48,NFL,Buffalo Bills,Defensive Coordinator
1996,49,NFL,Buffalo Bills,Defensive Coordinator
1997,50,NFL,Buffalo Bills,Defensive Coordinator
1998,51,NFL,Buffalo Bills,Head Coach
1999,52,NFL,Buffalo Bills,Head Coach
2000,53,NFL,Buffalo Bills,Head Coach
2002,55,NFL,Atlanta Falcons,Defensive Coordinator
2003,56,NFL,Atlanta Falcons,Defensive Coordinator/Interim HC
2004,57,NFL,San Diego Chargers,Defensive Coordinator
2005,58,NFL,San Diego Chargers,Defensive Coordinator
2006,59,NFL,San Diego Chargers,Defensive Coordinator
2007,60,NFL,Dallas Cowboys,Head Coach
2008,61,NFL,Dallas Cowboys,Head Coach
2009,62,NFL,Dallas Cowboys,Head Coach
2010,63,NFL,Dallas Cowboys,Head Coach
2011,64,NFL,Houston Texans,Defensive Coordinator
2012,65,NFL,Houston Texans,Defensive Coordinator
2013,66,NFL,Houston Texans,Defensive Coordinator
2015,68,NFL,Denver Broncos,Defensive Coordinator
2016,69,NFL,Denver Broncos,Defensive Coordinator
2017,70,NFL,Los Angeles Rams,Defensive Coordinator
2018,71,NFL,Los Angeles Rams,Defensive Coordinator
2019,72,NFL,Los Angeles Rams,Defensive Coordinator
2023,76,XFL,Houston Roughnecks,Head Coach
2024,77,UFL,San Antonio Brahmas,Head Coach
2025,78,UFL,San Antonio Brahmas,Head Coach
