,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sat,"January 14, 2023",boxscore,L,,@,San Francisco 49ers,23,41,22,332,228,104,2,24,505,324,181,,,,
1,2020,WildCard,Sat,"January 9, 2021",boxscore,L,,,Los Angeles Rams,20,30,11,278,142,136,2,16,333,169,164,,,,
2,2019,WildCard,Sun,"January 5, 2020",boxscore,W,,@,Philadelphia Eagles,17,9,16,382,318,64,,20,282,162,120,,,,
3,2019,Division,Sun,"January 12, 2020",boxscore,L,,@,Green Bay Packers,23,28,23,375,265,110,,22,344,235,109,,,,
4,2018,WildCard,Sat,"January 5, 2019",boxscore,L,,@,Dallas Cowboys,22,24,11,299,226,73,,23,380,216,164,1,,,
5,2016,WildCard,Sat,"January 7, 2017",boxscore,W,,,Detroit Lions,26,6,24,387,210,177,,13,231,182,49,,,,
6,2016,Division,Sat,"January 14, 2017",boxscore,L,,@,Atlanta Falcons,20,36,17,309,208,101,2,28,422,323,99,,,,
7,2015,WildCard,Sun,"January 10, 2016",boxscore,W,,@,Minnesota Vikings,10,9,13,226,129,97,1,14,183,125,58,1,,,
8,2015,Division,Sun,"January 17, 2016",boxscore,L,,@,Carolina Panthers,24,31,23,403,325,78,2,19,295,151,144,,,,
9,2014,Division,Sat,"January 10, 2015",boxscore,W,,,Carolina Panthers,31,17,16,348,248,100,,21,362,230,132,3,,,
10,2014,ConfChamp,Sun,"January 18, 2015",boxscore,W,OT,,Green Bay Packers,28,22,20,397,203,194,5,19,306,171,135,2,,,
11,2014,SuperBowl,Sun,"February 1, 2015",boxscore,L,,N,New England Patriots,24,28,20,396,234,162,1,25,377,320,57,2,,,
12,2013,Division,Sat,"January 11, 2014",boxscore,W,,,New Orleans Saints,23,15,13,277,103,174,,25,409,301,108,1,,,
13,2013,ConfChamp,Sun,"January 19, 2014",boxscore,W,,,San Francisco 49ers,23,17,14,308,193,115,1,16,308,147,161,3,,,
14,2013,SuperBowl,Sun,"February 2, 2014",boxscore,W,,N,Denver Broncos,43,8,17,341,206,135,,18,306,279,27,4,,,
15,2012,WildCard,Sun,"January 6, 2013",boxscore,W,,@,Washington Redskins,24,14,22,380,156,224,1,15,203,99,104,2,,,
16,2012,Division,Sun,"January 13, 2013",boxscore,L,,@,Atlanta Falcons,28,30,28,491,368,123,2,24,417,250,167,2,,,
17,2010,WildCard,Sat,"January 8, 2011",boxscore,W,,,New Orleans Saints,41,36,19,415,265,150,1,32,474,397,77,1,,,
18,2010,Division,Sun,"January 16, 2011",boxscore,L,,@,Chicago Bears,24,35,18,276,242,34,,21,437,261,176,1,,,
19,2007,WildCard,Sat,"January 5, 2008",boxscore,W,,,Washington Redskins,35,14,14,304,227,77,2,21,319,244,75,2,,,
20,2007,Division,Sat,"January 12, 2008",boxscore,L,,@,Green Bay Packers,20,42,15,200,172,28,1,25,408,173,235,2,,,
21,2006,WildCard,Sat,"January 6, 2007",boxscore,W,,,Dallas Cowboys,21,20,19,332,240,92,2,14,284,168,116,1,,,
22,2006,Division,Sun,"January 14, 2007",boxscore,L,OT,@,Chicago Bears,24,27,18,306,179,127,1,21,371,251,120,2,,,
23,2005,Division,Sat,"January 14, 2006",boxscore,W,,,Washington Redskins,20,10,15,334,215,119,3,11,289,230,59,1,,,
24,2005,ConfChamp,Sun,"January 22, 2006",boxscore,W,,,Carolina Panthers,34,14,27,393,203,190,,11,212,176,36,4,,,
25,2005,SuperBowl,Sun,"February 5, 2006",boxscore,L,,N,Pittsburgh Steelers,10,21,20,396,259,137,1,14,339,158,181,2,,,
26,2004,WildCard,Sat,"January 8, 2005",boxscore,L,,,St. Louis Rams,20,27,24,413,332,81,1,22,396,294,102,1,,,
27,2003,WildCard,Sun,"January 4, 2004",boxscore,L,OT,@,Green Bay Packers,27,33,22,340,291,49,1,22,397,319,78,,,,
28,1999,WildCard,Sun,"January 9, 2000",boxscore,L,,,Miami Dolphins,17,20,12,171,130,41,2,18,299,191,108,,,,
29,1988,Division,Sat,"December 31, 1988",boxscore,L,,@,Cincinnati Bengals,13,21,19,294,276,18,3,22,345,91,254,2,,,
30,1987,WildCard,Sun,"January 3, 1988",boxscore,L,OT,@,Houston Oilers,20,23,11,250,221,29,1,27,437,259,178,2,,,
31,1984,WildCard,Sat,"December 22, 1984",boxscore,W,,,Los Angeles Raiders,13,7,17,251,46,205,,14,240,135,105,3,,,
32,1984,Division,Sat,"December 29, 1984",boxscore,L,,@,Miami Dolphins,10,31,8,267,216,51,1,22,405,262,143,2,,,
33,1983,WildCard,Sat,"December 24, 1983",boxscore,W,,,Denver Broncos,31,7,17,324,179,145,,21,360,235,125,3,,,
34,1983,Division,Sat,"December 31, 1983",boxscore,W,,@,Miami Dolphins,27,20,21,334,183,151,1,21,321,193,128,5,,,
35,1983,ConfChamp,Sun,"January 8, 1984",boxscore,L,,@,Los Angeles Raiders,14,30,16,167,102,65,5,21,401,196,205,4,,,
