Year,Age,Level,Employer,Role
2008,21,High School,Cedar Shoals (GA),Linebackers/Running Backs
2009,22,High School,Cedar Shoals (GA),Linebackers/Running Backs
2010,23,College (FBS),Georgia,Graduate Assistant
2011,24,College (FBS),Georgia,Quality Control
2012,25,College (FBS),Georgia,Quality Control
2013,26,College (FBS),Georgia,Quality Control
2014,27,NFL,Baltimore Ravens,Intern
2015,28,NFL,Baltimore Ravens,Defensive Assistant
2016,29,NFL,Baltimore Ravens,Defensive Assistant
2017,30,NFL,Baltimore Ravens,Defensive Backs
2018,31,NFL,Baltimore Ravens,Linebackers
2019,32,NFL,Baltimore Ravens,Linebackers
2020,33,NFL,Baltimore Ravens,Linebackers
2021,34,College (FBS),Michigan,Defensive Coordinator
2022,35,NFL,Baltimore Ravens,Defensive Coordinator
2023,36,NFL,Baltimore Ravens,Defensive Coordinator
2024,37,NFL,Seattle Seahawks,Head Coach
2025,38,NFL,Seattle Seahawks,Head Coach
