Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2009,DEN,OC,32,16,7,18,13,15,20,7,14,18,22,17,11,9,13,16,7,15,7,12,9,22,26,11,27,6,9,3,8,13,3
2010,DEN,OC,32,29,27,29,25,13,19,16,27,26,12,24,27,7,7,15,7,9,32,32,30,31,31,32,29,24,5,25,24,30,30
2011,DEN,OC,32,13,26,25,27,23,25,25,1,1,19,6,32,32,31,18,8,29,20,24,28,27,22,15,13,19,14,18,16,28,21
2012,DEN,OC,32,1,17,2,1,4,2,16,9,16,13,25,26,10,5,3,6,1,2,4,16,7,3,1,2,22,17,3,17,13,1
2013,SDG,HC,32,12,20,12,9,5,12,10,6,13,25,21,16,22,4,5,7,2,23,11,30,3,12,18,27,29,12,29,12,26,31
2014,SDG,HC,32,13,22,17,16,18,17,13,23,30,29,31,3,14,10,8,26,8,9,13,27,19,26,14,29,10,4,4,12,28,15
2015,SDG,HC,32,29,19,27,13,9,26,17,22,31,32,32,22,2,4,13,17,14,20,21,24,16,27,29,30,16,3,14,10,21,28
2016,SDG,HC,32,26,26,22,13,14,9,32,22,26,22,26,30,15,8,4,31,7,16,29,4,16,10,30,7,9,18,20,8,1,19
2017,DEN,OC,32,25,31,27,8,17,27,31,8,12,25,18,26,12,20,25,31,28,3,22,26,12,5,6,1,19,1,4,28,24,18
2018,ARI,OC,32,32,29,32,32,32,32,27,28,32,27,32,21,29,32,30,28,32,20,26,28,32,32,32,27,14,6,4,3,29,6
