Year,Age,Level,Employer,Role
2000,28,NFL,Carolina Panthers,Quarterbacks
2001,29,NFL,Carolina Panthers,Wide Receivers
2002,30,NFL,Carolina Panthers,Quarterbacks
2003,31,NFL,Carolina Panthers,Quarterbacks
2004,32,NFL,Carolina Panthers,Quarterbacks
2005,33,NFL,Carolina Panthers,Quarterbacks
2006,34,NFL,Carolina Panthers,Quarterbacks
2007,35,NFL,Carolina Panthers,QB/Passing Game Coord.
2008,36,NFL,Carolina Panthers,QB/Passing Game Coord.
2009,37,NFL,Denver Broncos,Offensive Coordinator
2010,38,NFL,Denver Broncos,Offensive Coordinator
2011,39,NFL,Denver Broncos,Offensive Coordinator
2012,40,NFL,Denver Broncos,Offensive Coordinator
2013,41,NFL,San Diego Chargers,Head Coach
2014,42,NFL,San Diego Chargers,Head Coach
2015,43,NFL,San Diego Chargers,Head Coach
2016,44,NFL,San Diego Chargers,Head Coach
2017,45,NFL,Denver Broncos,Offensive Coordinator
2018,46,NFL,Arizona Cardinals,Offensive Coordinator
2022,50,NFL,Jacksonville Jaguars,Quarterbacks
2023,51,NFL,Jacksonville Jaguars,Quarterbacks
2024,52,NFL,Jacksonville Jaguars,Quarterbacks
2025,53,NFL,Tennessee Titans,Sr. Offensive Assistant
