Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1920,28,RCH,APFA,11,6,3,2,.667,-10.3,-12.6,2.4,,,,,7,
1921,29,RCH,APFA,5,2,3,0,.400,-1.6,3.3,-5.0,,,,,10,
