,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1922,30,DAY,NFL,8,4,3,1,.571,3.4,1.9,1.5,,,,,7,
1,1923,31,DAY,NFL,8,1,6,1,.143,-1.6,-0.8,-0.8,,,,,16,
2,1924,32,DAY,NFL,8,2,6,0,.250,-7.7,-3.1,-4.6,,,,,13,
3,1925,33,DAY,NFL,8,0,7,1,.000,-1.3,-3.3,2.0,,,,,16,
4,1926,34,DAY,NFL,6,1,4,1,.200,-7.4,-2.3,-5.0,,,,,16,
