,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1989,43,Los Angeles Raiders,NFL,12,7,5,0,.583,1.8,0.0,1.9,,,,,3,,,
1,1990,44,Los Angeles Raiders,NFL,16,12,4,0,.750,6.6,2.2,4.4,2,1,1,.500,1,,,
2,1991,45,Los Angeles Raiders,NFL,16,9,7,0,.563,1.4,0.3,1.1,1,0,1,.000,3,,,
3,1992,46,Los Angeles Raiders,NFL,16,7,9,0,.438,-1.6,-3.2,1.5,,,,,4,,,
4,1993,47,Los Angeles Raiders,NFL,16,10,6,0,.625,-0.7,1.1,-1.7,2,1,1,.500,2,,,
5,1994,48,Los Angeles Raiders,NFL,16,9,7,0,.563,-1.6,-1.9,0.3,,,,,3,,,
6,2006,60,Oakland Raiders,NFL,16,2,14,0,.125,-9.6,-10.3,0.7,,,,,4,8,1,
