Year,Age,Level,Employer,Role
1983,37,NFL,Los Angeles Raiders,Offensive Line
1984,38,NFL,Los Angeles Raiders,Offensive Line
1985,39,NFL,Los Angeles Raiders,Offensive Line
1986,40,NFL,Los Angeles Raiders,Offensive Line
1987,41,NFL,Los Angeles Raiders,Offensive Line
1988,42,NFL,Los Angeles Raiders,Offensive Line
1989,43,NFL,Los Angeles Raiders,Head Coach
1990,44,NFL,Los Angeles Raiders,Head Coach
1991,45,NFL,Los Angeles Raiders,Head Coach
1992,46,NFL,Los Angeles Raiders,Head Coach
1993,47,NFL,Los Angeles Raiders,Head Coach
1994,48,NFL,Los Angeles Raiders,Head Coach
1995,49,NFL,Kansas City Chiefs,Offensive Line
1996,50,NFL,Kansas City Chiefs,Offensive Line
1997,51,NFL,Atlanta Falcons,Offensive Line
1998,52,NFL,Atlanta Falcons,Offensive Line
1999,53,NFL,Atlanta Falcons,Offensive Line
2000,54,NFL,Atlanta Falcons,Offensive Line
2006,60,NFL,Oakland Raiders,Head Coach
