Year,Age,Level,Employer,Role
2002,23,College (FCS),UC Davis,Asst. Linebackers
2003,24,College (FBS),Stanford,Offensive Assistant
2004,25,College (FBS),Stanford,Coordinator's Assistant
2005,26,College (FBS),Stanford,Recruiting Coordinator
2006,27,NFL,Tampa Bay Buccaneers,Offensive Quality Control
2007,28,NFL,Tampa Bay Buccaneers,Offensive Quality Control
2008,29,NFL,Buffalo Bills,Offensive Quality Control
2009,30,NFL,Buffalo Bills,Offensive Quality Control
2010,31,College (FBS),Syracuse,Quarterbacks/Tight Ends
2011,32,College (FBS),Syracuse,Offensive Coordinator
2012,33,College (FBS),Syracuse,Offensive Coordinator
2013,34,NFL,Buffalo Bills,Offensive Coordinator
2014,35,NFL,Buffalo Bills,Offensive Coordinator
2015,36,NFL,Jacksonville Jaguars,Quarterbacks
2016,37,NFL,Jacksonville Jaguars,Quarterbacks/Interim Offensive Coordinator
2017,38,NFL,Jacksonville Jaguars,Offensive Coordinator
2018,39,NFL,Jacksonville Jaguars,Offensive Coordinator
2019,40,NFL,Green Bay Packers,Offensive Coordinator
2020,41,NFL,Green Bay Packers,Offensive Coordinator
2021,42,NFL,Green Bay Packers,Offensive Coordinator
2022,43,NFL,Denver Broncos,Head Coach
2023,44,NFL,New York Jets,Offensive Coordinator
2024,45,NFL,New York Jets,Offensive Coordinator
