,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,187,3052,522,5.8,16,6,177,212,310,2211,15,10,6.9,109,202,841,4,4.2,53,51,431,15,83,44.6,16.9,Own 28.2,3:00,6.42,36.4,2.25,102,48,47.1,7,3,42.9,31,16,51.6
1,2022,496,7032,1094,6.4,23,11,408,435,651,5062,41,12,7.5,272,417,1970,18,4.7,105,87,838,31,179,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71,193,94,48.7%,12,9,75.0%,72,50,69.4%
2,2021,480,6746,1134,5.9,25,12,419,448,675,4791,37,13,6.8,267,431,1955,16,4.5,119,111,925,33,168,48.2,13.7,Own 28.7,3:08,6.94,40.1,2.71,205,107,52.2%,15,10,66.7%,69,41,59.4%
3,2020,473,6653,1057,6.3,16,9,397,420,630,4854,40,7,7.4,255,403,1799,13,4.5,110,105,919,32,163,47.9,9.2,Own 28.2,3:00,6.65,40.7,2.74,194,95,49.0%,16,9,56.3%,59,36,61.0%
4,2019,451,6067,976,6.2,15,10,350,378,576,4498,30,5,7.5,211,375,1569,16,4.2,93,107,1029,46,164,48.8,7.9,Own 28.8,2:52,6.18,37.0,2.59,187,89,47.6%,10,6,60.0%,50,27,54.0%
5,2018,565,6810,996,6.8,18,6,384,385,583,4955,50,12,8.1,239,387,1855,16,4.8,108,137,1152,37,171,52.6,10.5,Own 30.9,2:44,6.02,39.8,3.12,176,83,47.2%,15,12,80.0%,71,51,71.8%
6,2017,415,6007,985,6.1,11,3,322,363,543,4104,26,8,7.1,198,405,1903,12,4.7,95,118,1044,29,176,44.9,6.3,Own 29.1,2:49,5.86,34.0,2.21,199,78,39.2,10,3,30.0,50,21,42.0
7,2016,389,5488,990,5.5,17,9,305,365,546,3740,19,8,6.5,197,412,1748,15,4.2,86,109,848,22,178,37.1,9.0,Own 30.5,2:45,5.79,30.7,1.90,213,81,38.0%,14,10,71.4%,55,25,45.5%
8,2015,405,5299,955,5.5,15,8,303,310,473,3255,20,7,6.3,155,436,2044,19,4.7,116,104,878,32,182,37.9,7.1,Own 31.3,2:43,5.45,29.1,1.99,199,76,38.2%,9,6,66.7%,54,31,57.4%
9,2014,353,5100,962,5.3,17,11,309,320,493,3182,18,6,5.9,184,420,1918,18,4.6,92,88,681,33,173,35.8,9.2,Own 29.3,2:46,5.73,29.4,1.93,201,80,39.8%,12,5,41.7%,48,28,58.3%
