,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,369,5579,1093,5.1,20,9,337,408,619,3756,33,11,5.6,207,419,1823,10,4.4,102,98,734,28,184,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01,222,85,38.3%,35,20,57.1%,55,37,67.3%
1,2021,364,6272,1060,5.9,29,14,363,401,610,4273,27,15,6.7,209,419,1999,15,4.8,121,116,911,33,169,37.3,16.0,Own 26.5,2:56,6.4,37.0,2.14,199,80,40.2%,31,19,61.3%,56,32,57.1%
2,2020,362,5733,1022,5.6,22,6,353,349,557,3779,29,16,6.4,202,433,1954,14,4.5,113,97,760,38,169,36.1,13.0,Own 25.8,2:50,6.2,33.8,2.10,188,77,41.0%,20,13,65.0%,47,36,76.6%
3,2019,308,5594,1043,5.4,23,7,344,352,582,3543,21,16,5.7,190,416,2051,14,4.9,115,116,844,39,164,34.1,13.4,Own 27.0,2:59,6.5,34.0,1.88,202,75,37.1%,31,16,51.6%,57,29,50.9%
4,2018,421,6488,1109,5.9,27,12,419,406,632,4374,30,15,6.4,247,425,2114,19,5.0,129,107,881,43,174,40.8,14.9,Own 25.7,2:53,6.6,37.2,2.35,193,80,41.5%,27,18,66.7%,58,42,72.4%
5,2017,339,5842,1044,5.6,26,10,352,325,570,3952,23,16,6.6,204,443,1890,15,4.3,112,107,864,36,179,33.5,13.4,Own 26.0,2:39,6.0,32.6,1.85,207,83,40.1,17,9,52.9,51,28,54.9
6,2016,311,5896,1063,5.5,33,15,342,350,598,3958,23,18,6.3,209,437,1938,10,4.4,102,109,797,31,182,31.9,16.5,Own 26.9,2:42,6.0,32.3,1.68,222,96,43.2%,20,10,50.0%,53,26,49.1%
7,2015,287,5269,1037,5.1,29,7,313,349,607,3698,25,22,5.7,193,383,1571,7,4.1,86,110,941,34,183,27.3,15.3,Own 24.6,2:33,5.8,28.8,1.52,217,72,33.2%,27,13,48.1%,40,24,60.0%
8,2014,281,5288,1024,5.2,14,8,310,318,545,3252,22,6,5.5,184,433,2036,4,4.7,108,107,851,18,178,32.6,6.7,Own 27.7,2:42,6.0,29.7,1.56,216,79,36.6%,21,8,38.1%,54,21,38.9%
9,2013,305,5885,1067,5.5,36,15,303,334,592,3962,25,21,6.2,189,428,1923,9,4.5,88,112,852,26,204,27.5,15.7,Own 23.2,2:19,5.4,28.8,1.49,229,78,34.1%,18,9,50.0%,37,19,51.4%
10,2012,425,5704,973,5.9,13,6,301,279,464,3533,29,7,7.2,176,482,2171,11,4.5,106,81,670,19,178,40.4,6.2,Own 28.2,2:43,5.7,31.9,2.11,202,79,39.1%,4,3,75.0%,64,34,53.1%
11,2011,338,5333,991,5.4,26,6,291,257,454,3221,23,20,6.7,169,508,2112,14,4.2,96,108,834,26,188,31.9,13.8,Own 31.5,2:39,5.4,28.4,1.74,210,72,34.3%,16,7,43.8%,51,28,54.9%
