Year,Age,Level,Employer,Role
1938,22,College,Pittsburgh,Backfield Coach
1939,23,College,Pittsburgh,Backfield Coach
1940,24,NFL,Brooklyn Dodgers,Backfield Coach
1941,25,NFL,Brooklyn Dodgers,Backfield Coach
1946,30,NFL,Pittsburgh Steelers,Backfield Coach
1947,31,NFL,Pittsburgh Steelers,Backfield Coach
1948,32,NFL,Pittsburgh Steelers,Head Coach
1949,33,NFL,Pittsburgh Steelers,Head Coach
1950,34,NFL,Pittsburgh Steelers,Head Coach
1951,35,NFL,Pittsburgh Steelers,Head Coach
1952,36,College,Pittsburgh,Backfield Coach
1953,37,College,Pittsburgh,Backfield Coach
1954,38,College,Pittsburgh,Backfield Coach
1955,39,College,Pittsburgh,Head Coach
1956,40,College,Pittsburgh,Head Coach
1957,41,College,Pittsburgh,Head Coach
1958,42,College,Pittsburgh,Head Coach
1959,43,College,Pittsburgh,Head Coach
1960,44,College,Pittsburgh,Head Coach
1961,45,College,Pittsburgh,Head Coach
1962,46,College,Pittsburgh,Head Coach
1963,47,College,Pittsburgh,Head Coach
1964,48,College,Pittsburgh,Head Coach
1965,49,College,Pittsburgh,Head Coach
