,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,289,4734.0,950.0,5.0,44.0,25,267.0,311,551,3531,22,19,6.0,172.0,361,1203,7,3.3,65.0,118,858,30.0,,,,,,,,,,,,,,,,,
1,buf,333,4691.0,950.0,4.9,31.0,13,283.0,294,532,3198,27,18,5.6,168.0,375,1493,11,4.0,79.0,104,836,36.0,,,,,,,,,,,,,,,,,
2,car,413,5842.0,1029.0,5.7,33.0,14,315.0,298,501,3709,30,19,6.9,197.0,491,2133,14,4.3,95.0,110,892,23.0,,,,,,,,,,,,,,,,,
3,chi,368,5103.0,963.0,5.3,28.0,14,300.0,292,456,3228,27,14,6.7,155.0,479,1875,12,3.9,121.0,102,852,24.0,,,,,,,,,,,,,,,,,
4,cin,452,5763.0,992.0,5.8,20.0,7,310.0,233,406,3151,23,13,7.3,152.0,558,2612,23,4.7,142.0,127,1012,16.0,,,,,,,,,,,,,,,,,
5,clt,444,5836.0,1043.0,5.6,19.0,11,341.0,275,461,3266,27,8,6.5,181.0,544,2570,20,4.7,131.0,108,917,29.0,,,,,,,,,,,,,,,,,
6,crd,378,5265.0,1049.0,5.0,39.0,19,321.0,299,518,3276,21,20,5.9,177.0,492,1989,18,4.0,117.0,114,954,27.0,,,,,,,,,,,,,,,,,
7,dal,275,5164.0,988.0,5.2,26.0,12,276.0,290,553,3545,21,14,6.0,162.0,401,1619,10,4.0,84.0,120,917,30.0,,,,,,,,,,,,,,,,,
8,den,309,4935.0,999.0,4.9,30.0,11,283.0,345,596,3648,28,19,5.7,183.0,356,1287,8,3.6,80.0,113,865,20.0,,,,,,,,,,,,,,,,,
9,det,378,5117.0,1004.0,5.1,21.0,9,308.0,284,474,3015,23,12,5.8,167.0,487,2102,15,4.3,113.0,98,791,28.0,,,,,,,,,,,,,,,,,
10,gnb,319,4507.0,980.0,4.6,23.0,10,246.0,296,540,3065,23,13,5.2,166.0,390,1442,7,3.7,67.0,94,828,13.0,,,,,,,,,,,,,,,,,
11,jax,338,5559.0,1057.0,5.3,30.0,17,309.0,325,577,3559,23,13,5.9,178.0,450,2000,9,4.4,108.0,109,953,23.0,,,,,,,,,,,,,,,,,
12,kan,363,4854.0,1010.0,4.8,33.0,20,321.0,259,479,2985,17,13,5.8,146.0,491,1869,22,3.8,119.0,138,1292,56.0,,,,,,,,,,,,,,,,,
13,mia,265,4435.0,944.0,4.7,36.0,7,257.0,252,504,2924,17,29,5.3,148.0,395,1511,6,3.8,75.0,97,875,34.0,,,,,,,,,,,,,,,,,
14,min,296,5066.0,997.0,5.1,34.0,15,300.0,320,555,3452,17,19,5.8,171.0,404,1614,12,4.0,102.0,132,1167,27.0,,,,,,,,,,,,,,,,,
15,nor,359,5668.0,1053.0,5.4,32.0,11,326.0,328,539,3968,24,21,6.8,208.0,467,1700,13,3.6,86.0,132,1164,32.0,,,,,,,,,,,,,,,,,
16,nwe,329,5182.0,1053.0,4.9,31.0,7,305.0,336,570,3635,26,24,6.0,208.0,447,1547,8,3.5,76.0,104,787,21.0,,,,,,,,,,,,,,,,,
17,nyg,309,5171.0,1051.0,4.9,26.0,7,286.0,282,521,3167,17,19,5.5,163.0,476,2004,13,4.2,103.0,124,967,20.0,,,,,,,,,,,,,,,,,
18,nyj,266,4699.0,980.0,4.8,30.0,9,263.0,285,544,3040,16,21,5.2,150.0,400,1659,11,4.1,87.0,109,967,26.0,,,,,,,,,,,,,,,,,
19,oti,320,5121.0,955.0,5.4,19.0,7,279.0,319,511,3511,24,12,6.5,170.0,414,1610,9,3.9,81.0,93,704,28.0,,,,,,,,,,,,,,,,,
20,phi,344,5136.0,1019.0,5.0,17.0,8,286.0,249,449,2720,18,9,5.5,133.0,528,2416,18,4.6,125.0,113,904,28.0,,,,,,,,,,,,,,,,,
21,pit,303,4963.0,1002.0,5.0,29.0,13,266.0,268,482,3321,17,16,6.3,155.0,479,1642,8,3.4,88.0,106,854,23.0,,,,,,,,,,,,,,,,,
22,rai,356,4550.0,1020.0,4.5,35.0,14,273.0,291,497,2876,22,21,5.3,150.0,482,1674,8,3.5,95.0,115,921,28.0,,,,,,,,,,,,,,,,,
23,ram,378,4880.0,1004.0,4.9,23.0,7,282.0,256,475,2831,28,16,5.4,161.0,479,2049,11,4.3,92.0,112,915,29.0,,,,,,,,,,,,,,,,,
24,rav,335,5297.0,1050.0,5.0,23.0,6,298.0,316,539,3592,20,17,6.2,180.0,472,1705,12,3.6,90.0,122,1013,28.0,,,,,,,,,,,,,,,,,
25,sdg,342,4208.0,991.0,4.2,27.0,7,256.0,271,530,3068,21,20,5.4,149.0,422,1140,12,2.7,72.0,120,1005,35.0,,,,,,,,,,,,,,,,,
26,sea,310,5689.0,1137.0,5.0,42.0,18,337.0,343,597,3690,18,24,5.7,197.0,487,1999,13,4.1,111.0,130,1157,29.0,,,,,,,,,,,,,,,,,
27,sfo,328,5343.0,1012.0,5.3,33.0,12,297.0,294,566,3733,25,21,6.1,178.0,395,1610,13,4.1,91.0,101,800,28.0,,,,,,,,,,,,,,,,,
28,tam,295,4345.0,925.0,4.7,26.0,14,244.0,274,473,2762,15,12,5.4,148.0,415,1583,12,3.8,75.0,88,669,21.0,,,,,,,,,,,,,,,,,
29,was,421,5354.0,1057.0,5.1,21.0,8,303.0,281,493,2918,21,13,5.5,152.0,531,2436,24,4.6,127.0,95,824,24.0,,,,,,,,,,,,,,,,,
