Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1930,32,NYG,NFL,2,2,0,0,1.000,11.7,7.8,3.9,,,,,2,co-coach with Benny Friedman
1931,33,NYG,NFL,14,7,6,1,.538,3.8,1.4,2.5,,,,,5,
1932,34,NYG,NFL,12,4,6,2,.400,-1.5,0.0,-1.5,,,,,5,
1933,35,NYG,NFL,14,11,3,0,.786,10.0,7.3,2.6,1,0,1,.000,1,
1934,36,NYG,NFL,13,8,5,0,.615,3.9,0.9,2.9,1,1,0,1.000,1,NFL Champions
1935,37,NYG,NFL,12,9,3,0,.750,3.9,2.9,1.0,1,0,1,.000,1,
1936,38,NYG,NFL,12,5,6,1,.455,-4.7,-2.6,-2.1,,,,,3,
1937,39,NYG,NFL,11,6,3,2,.667,0.7,-2.1,2.8,,,,,2,
1938,40,NYG,NFL,11,8,2,1,.800,7.6,2.4,5.2,1,1,0,1.000,1,NFL Champions
1939,41,NYG,NFL,11,9,1,1,.900,4.4,-1.8,6.2,1,0,1,.000,1,
1940,42,NYG,NFL,11,6,4,1,.600,-1.1,-4.1,3.0,,,,,3,
1941,43,NYG,NFL,11,8,3,0,.727,4.8,3.3,1.5,1,0,1,.000,1,
1942,44,NYG,NFL,11,5,5,1,.500,3.0,-1.3,4.4,,,,,3,
1943,45,NYG,NFL,10,6,3,1,.667,1.2,-0.4,1.6,1,0,1,.000,1,
1944,46,NYG,NFL,10,8,1,1,.889,9.9,1.2,8.7,1,0,1,.000,1,
1945,47,NYG,NFL,10,3,6,1,.333,-1.7,-0.1,-1.6,,,,,3,
1946,48,NYG,NFL,11,7,3,1,.700,6.5,2.3,4.3,1,0,1,.000,1,
1947,49,NYG,NFL,12,2,8,2,.200,-11.4,-6.7,-4.7,,,,,5,
1948,50,NYG,NFL,12,4,8,0,.333,-6.5,3.4,-9.9,,,,,3,
1949,51,NYG,NFL,12,6,6,0,.500,-2.0,1.7,-3.7,,,,,3,
1950,52,NYG,NFL,12,10,2,0,.833,12.6,1.4,11.2,1,0,1,.000,1,
1951,53,NYG,NFL,12,9,2,1,.818,5.7,-1.6,7.3,,,,,2,
1952,54,NYG,NFL,12,7,5,0,.583,-0.8,-2.9,2.1,,,,,2,
1953,55,NYG,NFL,12,3,9,0,.250,-5.5,-5.2,-0.3,,,,,5,
