Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1930,NYG,HC,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
1931,NYG,HC,10,5,1,4,1,1,5,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
1932,NYG,HC,8,5,5,4,2,2,4,5,3,4,8,5,1,1,1,1,5,3,1,5,1,1,1,1,1,1,1,1,1,1,1
1933,NYG,HC,10,2,1,1,5,5,1,1,7,6,1,4,1,7,2,1,1,1,5,3,1,5,7,5,9,1,7,4,4,1,3
1934,NYG,HC,11,3,3,5,3,5,5,3,2,4,4,8,1,9,5,5,3,3,5,6,5,6,5,4,6,1,7,8,5,5,5
1935,NYG,HC,9,1,5,3,4,4,4,1,4,5,3,5,1,7,4,3,1,3,2,1,9,2,3,2,3,9,8,6,2,4,2
1936,NYG,HC,9,6,6,5,6,4,5,1,4,3,7,4,1,5,6,3,1,7,6,7,8,5,5,8,7,6,2,6,3,8,9
1937,NYG,HC,10,3,1,5,5,5,6,1,5,5,9,5,1,4,4,4,1,8,3,3,2,3,4,3,4,9,5,4,2,1,3
1938,NYG,HC,10,1,1,1,3,4,2,4,2,4,1,5,1,8,6,4,4,4,1,1,1,3,2,1,2,3,8,2,1,1,1
1939,NYG,HC,10,1,1,3,6,7,5,1,2,6,6,7,1,9,10,5,1,8,2,1,1,4,5,1,3,7,7,3,1,1,3
1940,NYG,HC,10,4,4,5,4,7,8,2,3,4,9,7,1,9,8,6,2,7,1,2,6,5,1,4,1,7,5,4,2,5,1
1941,NYG,HC,10,3,3,3,6,6,3,2,4,4,2,5,7,10,8,3,2,2,1,1,3,5,3,4,2,4,5,3,1,2,2
1942,NYG,HC,10,5,2,5,8,9,5,1,7,7,3,7,1,10,7,5,2,4,5,4,3,10,5,6,3,1,7,6,1,9,6
1943,NYG,HC,10,3,2,4,5,5,5,1,4,4,2,3,1,8,8,6,1,6,5,3,6,4,2,1,2,3,7,8,5,6,7
1944,NYG,HC,11,1,1,2,5,7,5,1,2,3,6,4,1,10,10,6,2,4,3,1,1,6,3,1,2,5,10,6,1,1,1
1945,NYG,HC,10,6,3,6,8,7,7,4,9,10,10,10,3,6,6,1,4,3,9,6,5,10,10,8,9,3,1,4,1,8,8
1946,NYG,HC,10,2,3,2,7,5,4,5,5,6,2,3,4,8,8,5,9,3,7,3,3,3,5,1,5,2,8,8,3,7,7
1947,NYG,HC,10,10,6,10,8,9,9,7,8,9,8,9,4,5,5,6,6,7,5,9,7,8,8,7,6,9,2,3,5,3,7
1948,NYG,HC,10,6,2,7,8,6,5,3,10,9,5,9,7,2,3,3,2,6,9,9,1,6,8,9,8,10,6,8,8,1,10
1949,NYG,HC,10,6,3,6,8,8,5,3,7,8,6,10,2,6,5,7,3,5,6,6,6,5,3,7,4,2,9,9,5,6,5
1950,NYG,HC,13,1,1,3,5,11,6,1,3,1,3,3,8,13,13,11,1,10,2,3,3,11,2,2,1,1,4,4,4,7,4
1951,NYG,HC,12,2,2,3,7,12,6,6,5,7,10,10,3,12,12,10,8,10,1,2,1,2,1,1,1,9,12,7,2,1,4
1952,NYG,HC,12,4,2,6,9,10,10,1,3,7,7,6,4,12,10,9,3,10,8,5,5,2,2,1,1,9,5,11,8,3,9
1953,NYG,HC,12,9,10,9,10,11,12,6,8,12,12,12,1,6,9,5,11,8,8,9,9,5,3,6,3,9,9,12,10,9,8
