Year,Age,Level,Employer,Role
1978,24,High School,Stamford High School (Stamford CT),Head Coach
1979,25,High School,Worcester Academy,Assistant Coach
1980,26,High School,Worcester Academy,Assistant Coach
1981,27,College,Pittsburgh,Graduate Assistant
1982,28,College,Pittsburgh,Graduate Assistant
1983,29,College,Tulane,Offensive Line
1984,30,College,Tulane,Offensive Line
1985,31,College,Holy Cross,Offensive Line
1986,32,College,Holy Cross,Offensive Line
1987,33,College,Holy Cross,Offensive Line
1988,34,College,Holy Cross,Offensive Coordinator
1989,35,College,Texas A&M,Offensive Line
1990,36,College,Texas A&M,Offensive Line
1991,37,College,Texas A&M,Offensive Line
1992,38,College,Texas A&M,Offensive Line
1993,39,College,Texas A&M,Offensive Line
1994,40,College,UCLA,Offensive Line
1995,41,College,Texas A&M,Offensive Line
1996,42,College,Texas A&M,Offensive Line
1997,43,NFL,Green Bay Packers,Tight Ends/Assistant Offensive Line
1998,44,NFL,Green Bay Packers,Tight Ends/Assistant Offensive Line
1999,45,NFL,Seattle Seahawks,Offensive Coordinator
2000,46,NFL,Green Bay Packers,Head Coach
2001,47,NFL,Green Bay Packers,Head Coach
2002,48,NFL,Green Bay Packers,Head Coach
2003,49,NFL,Green Bay Packers,Head Coach
2004,50,NFL,Green Bay Packers,Head Coach
2005,51,NFL,Green Bay Packers,Head Coach
2006,52,NFL,Houston Texans,Assistant Head Coach/Offense
2007,53,NFL,Houston Texans,Offensive Coordinator
2008,54,College,Texas A&M,Head Coach
2009,55,College,Texas A&M,Head Coach
2010,56,College,Texas A&M,Head Coach
2011,57,College,Texas A&M,Head Coach
2012,58,NFL,Miami Dolphins,Offensive Coordinator
2013,59,NFL,Miami Dolphins,Offensive Coordinator
2015,61,High School,Nauset Regional HS,Head Coach
2016,62,High School,Nauset Regional HS,Head Coach
2017,63,High School,Nauset Regional HS,Head Coach
2018,64,CFL,Montreal Alouettes,Head Coach
