Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2000,46,GNB,NFL,16,9,7,0,.563,2.5,1.8,0.7,,,,,3,5,1,
2001,47,GNB,NFL,16,12,4,0,.750,6.6,4.0,2.6,2,1,1,.500,2,8,3,
2002,48,GNB,NFL,16,12,4,0,.750,3.6,2.4,1.2,1,0,1,.000,1,5,2,
2003,49,GNB,NFL,16,10,6,0,.625,8.1,6.2,1.9,2,1,1,.500,1,5,2,
2004,50,GNB,NFL,16,10,6,0,.625,0.3,4.3,-4.0,1,0,1,.000,1,10,3,
2005,51,GNB,NFL,16,4,12,0,.250,-3.7,-1.5,-2.2,,,,,4,7,1,
