,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,bkn,153.0,2748.0,619.0,4.4,17.0,0.0,,41.0,123.0,595.0,6.0,17.0,4.8,,496.0,2153.0,16.0,4.3,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,chi,86.0,2213.0,655.0,3.4,27.0,0.0,,73.0,226.0,806.0,2.0,27.0,3.6,,429.0,1407.0,9.0,3.3,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,crd,84.0,1539.0,466.0,3.3,14.0,0.0,,37.0,106.0,585.0,5.0,14.0,5.5,,360.0,954.0,5.0,2.7,,0.0,0.0,,,,,,,,,,,,,,,,,,
3,det,59.0,1909.0,637.0,3.0,33.0,0.0,,53.0,200.0,678.0,5.0,33.0,3.4,,437.0,1231.0,2.0,2.8,,0.0,0.0,,,,,,,,,,,,,,,,,,
4,gnb,112.0,2250.0,689.0,3.3,25.0,0.0,,56.0,172.0,686.0,3.0,25.0,4.0,,517.0,1564.0,9.0,3.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
5,gun,61.0,760.0,188.0,4.0,3.0,0.0,,14.0,52.0,309.0,4.0,3.0,5.9,,136.0,451.0,5.0,3.3,,0.0,0.0,,,,,,,,,,,,,,,,,,
6,nyg,107.0,2378.0,649.0,3.7,22.0,0.0,,54.0,184.0,744.0,5.0,22.0,4.0,,465.0,1634.0,7.0,3.5,,0.0,0.0,,,,,,,,,,,,,,,,,,
7,phi,85.0,2203.0,546.0,4.0,22.0,0.0,,41.0,135.0,545.0,1.0,22.0,4.0,,411.0,1658.0,9.0,4.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
8,pit,206.0,3179.0,650.0,4.9,20.0,0.0,,45.0,133.0,610.0,10.0,20.0,4.6,,517.0,2569.0,15.0,5.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
9,red,243.0,2508.0,371.0,6.8,5.0,0.0,,46.0,116.0,877.0,11.0,5.0,7.6,,255.0,1631.0,19.0,6.4,,0.0,0.0,,,,,,,,,,,,,,,,,,
10,was,94.0,2397.0,577.0,4.2,18.0,0.0,,45.0,159.0,682.0,4.0,18.0,4.3,,418.0,1715.0,5.0,4.1,,0.0,0.0,,,,,,,,,,,,,,,,,,
