Year,Age,Level,Employer,Role
1925,26,College,Texas Christian,Assistant Coach
1926,27,College,Texas Christian,Assistant Coach
1927,28,College,Texas Christian,Assistant Coach
1928,29,College,Texas Christian,Assistant Coach
1929,30,College,Centre,Head Coach
1930,31,College,Centre,Head Coach
1931,32,College,Centre,Head Coach
1932,33,College,Centre,Head Coach
1933,34,College,Centre,Head Coach
1934,35,College,Centre,Head Coach
1935,36,College,Centre,Head Coach
1936,37,College,Centre,Head Coach
1937,38,College,Centre,Head Coach
1938,39,College,Southwestern (TN),Head Coach
1939,40,College,Southwestern (TN),Head Coach
1940,41,College,Southwestern (TN),Head Coach
1941,42,College,Southwestern (TN),Head Coach
1944,45,NFL,Brooklyn Tigers,Head Coach
