Year,Age,Level,Employer,Role
1963,22,College,Alabama,Assistant Coach
1964,23,College,Alabama,Assistant Coach
1965,24,College,Alabama,Assistant Coach
1966,25,College,Alabama,Assistant Coach
1967,26,College,Alabama,Assistant Coach
1968,27,College,Arkansas,Assistant Coach
1969,28,College,Arkansas,Assistant Coach
1970,29,College,Alabama,Assistant Coach
1971,30,College,Alabama,Assistant Coach
1972,31,College,Arkansas,Assistant Coach
1973,32,College,Arkansas,Assistant Coach
1974,33,College,Arkansas,Assistant Coach
1975,34,College,Memphis State,Head Coach
1976,35,College,Memphis State,Head Coach
1977,36,College,Memphis State,Head Coach
1978,37,College,Memphis State,Head Coach
1979,38,College,Memphis State,Head Coach
1980,39,College,Memphis State,Head Coach
1983,42,NFL,Kansas City Chiefs,Wide Receivers
1984,43,NFL,Kansas City Chiefs,Wide Receivers
1985,44,NFL,Kansas City Chiefs,Wide Receivers
1986,45,NFL,Kansas City Chiefs,Wide Receivers
1987,46,NFL,Tampa Bay Buccaneers,Wide Receivers/AHC
1988,47,NFL,Tampa Bay Buccaneers,Wide Receivers/AHC
1989,48,NFL,Tampa Bay Buccaneers,Wide Receivers/AHC
1990,49,NFL,Tampa Bay Buccaneers,Head Coach
1991,50,NFL,Tampa Bay Buccaneers,Head Coach
1992,51,NFL,Cincinnati Bengals,Wide Receivers
1993,52,NFL,Cincinnati Bengals,Wide Receivers
1994,53,NFL,Cincinnati Bengals,Wide Receivers
1995,54,NFL,Carolina Panthers,Wide Receivers
1996,55,NFL,Carolina Panthers,Wide Receivers
1997,56,NFL,Carolina Panthers,Wide Receivers
1998,57,NFL,Carolina Panthers,Wide Receivers
1999,58,NFL,Carolina Panthers,Wide Receivers
2000,59,NFL,Carolina Panthers,Offensive Coordinator/WR
2001,60,NFL,Carolina Panthers,Offensive Coordinator/WR
2002,61,NFL,Carolina Panthers,Wide Receivers
2003,62,NFL,Carolina Panthers,Wide Receivers
2004,63,NFL,Carolina Panthers,Wide Receivers
2005,64,NFL,Carolina Panthers,Wide Receivers
2006,65,NFL,Carolina Panthers,Wide Receivers
2007,66,NFL,Carolina Panthers,Wide Receivers
2008,67,NFL,Carolina Panthers,Wide Receivers
2009,68,NFL,Carolina Panthers,Wide Receivers
