,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,1949,236,3920,773,5.1,34,18,184,156,273,1873,15,16,6.7,61,492,2047,16,4.2,111,59,454,12,,,,,,,,,,,,,,,,,
1,1948,360,5421,910,6.0,39,13,223,177,360,2683,17,26,7.2,89,539,2738,29,5.1,120,88,644,14,,,,,,,,,,,,,,,,,
2,1947,320,4108,777,5.3,40,17,175,129,267,1891,24,23,6.7,59,496,2217,18,4.5,109,48,390,7,,,,,,,,,,,,,,,,,
3,1946,249,3413,739,4.6,58,35,147,96,238,1367,16,23,5.7,45,501,2046,13,4.1,85,46,296,17,,,,,,,,,,,,,,,,,
