,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,1949,Division,Sun,"December 4, 1949",boxscore,L,,@,Cleveland Browns,21,31,19,373,293,80,4,15,398,326,72,2,,,
1,1948,Division,Sun,"December 12, 1948",boxscore,W,,@,Baltimore Colts,28,17,11,297,135,162,3,24,393,217,176,3,,,
2,1948,Championship,Sun,"December 19, 1948",boxscore,L,,@,Cleveland Browns,7,49,13,167,104,63,8,20,333,118,215,4,,,
