Year,Age,Level,Employer,Role
1930,23,College,Duquesne,Freshmen Coach
1931,24,College,Duquesne,Freshmen Coach
1932,25,College,Duquesne,Freshmen Coach
1933,26,College,Duquesne,Freshmen Coach
1934,27,College,Duquesne,Freshmen Coach
1935,28,College,Duquesne,Freshmen Coach
1936,29,College,Duquesne,Assistant Coach
1937,30,College,Duquesne,Assistant Coach
1938,31,College,Duquesne,Assistant Coach
1939,32,College,Duquesne,Head Coach
1940,33,College,Duquesne,Head Coach
1941,34,College,Duquesne,Head Coach
1941,34,NFL,Pittsburgh Steelers,Head Coach
1942,35,College,Duquesne,Head Coach
1943,36,NFL,Brooklyn Dodgers,Line Coach
1944,37,NFL,Cleveland Rams,Head Coach
1947,40,College,Boston Univ.,Head Coach
1948,41,College,Boston Univ.,Head Coach
1949,42,College,Boston Univ.,Head Coach
1950,43,College,Boston Univ.,Head Coach
1951,44,College,Boston Univ.,Head Coach
1952,45,College,Boston Univ.,Head Coach
1953,46,College,Boston Univ.,Head Coach
1954,47,College,Boston Univ.,Head Coach
1955,48,College,Boston Univ.,Head Coach
1956,49,College,Boston Univ.,Head Coach
1957,50,College,Columbia,Head Coach
1958,51,College,Columbia,Head Coach
1959,52,College,Columbia,Head Coach
1960,53,College,Columbia,Head Coach
1961,54,College,Columbia,Head Coach
1962,55,College,Columbia,Head Coach
1963,56,College,Columbia,Head Coach
1964,57,College,Columbia,Head Coach
1965,58,College,Columbia,Head Coach
1966,59,College,Columbia,Head Coach
1967,60,College,Columbia,Head Coach
