Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1941,34,PIT,NFL,5,0,5,0,.000,-14.4,-6.5,-7.9,,,,,5,
1944,37,RAM,NFL,10,4,6,0,.400,-1.7,0.1,-1.8,,,,,4,
