,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1999,PHI,HC,31,26,8,25,30,30,25,28,19,17,29,9,31,30,31,22,16,31,24,22,1,29,28,18,13,4,21,15,19,3,11
1,2000,PHI,HC,31,5,13,6,17,17,12,15,24,15,17,4,20,7,20,12,9,26,10,4,12,21,20,10,13,18,22,7,2,11,3
2,2001,PHI,HC,31,6,7,3,11,17,9,6,23,14,31,8,8,18,20,4,7,19,7,2,12,19,18,2,16,1,16,2,2,23,4
3,2002,PHI,HC,32,1,4,1,6,10,4,7,5,7,14,8,15,18,19,3,6,19,4,2,3,5,9,1,20,1,23,7,7,20,2
4,2003,PHI,HC,32,3,8,8,20,18,11,5,25,9,2,5,13,25,20,20,4,20,20,7,18,21,22,17,23,7,28,16,6,25,9
5,2004,PHI,HC,32,3,11,4,9,9,8,7,31,24,19,10,14,9,7,4,3,9,10,2,17,16,16,17,19,19,29,12,3,15,4
6,2005,PHI,HC,32,19,23,24,23,19,18,25,30,28,17,17,21,3,8,12,26,23,23,27,18,28,21,20,10,23,13,21,26,10,24
7,2006,PHI,HC,32,6,9,8,5,2,6,9,27,11,14,5,25,8,3,1,2,3,15,15,13,25,26,11,24,22,23,9,7,8,4
8,2007,PHI,HC,32,14,25,11,7,6,17,13,20,8,16,2,14,7,10,12,11,18,10,9,32,8,7,9,8,27,17,18,2,30,13
9,2008,PHI,HC,32,11,14,4,1,9,6,16,17,22,14,24,13,4,6,8,21,12,3,4,9,13,4,2,4,5,19,3,10,11,2
10,2009,PHI,HC,32,5,2,10,11,11,5,7,28,22,15,14,11,10,10,10,7,11,12,19,3,10,9,11,11,6,28,17,24,4,5
11,2010,PHI,HC,32,8,5,9,5,2,3,12,15,5,4,1,21,11,9,8,9,12,12,21,5,17,15,16,14,13,18,14,29,3,14
12,2011,PHI,HC,32,13,30,9,4,4,8,31,12,5,2,3,26,13,9,11,31,7,8,10,17,12,16,15,19,19,12,10,24,17,11
13,2012,PHI,HC,32,28,31,30,12,15,29,30,19,13,21,8,32,7,13,25,15,26,15,29,31,26,23,12,16,28,2,9,32,30,23
14,2013,KAN,HC,32,6,2,4,25,21,6,2,15,10,5,5,16,20,24,15,1,24,24,5,2,11,22,6,26,1,24,25,14,3,14
15,2014,KAN,HC,32,13,21,9,22,25,16,4,16,10,3,5,19,28,29,27,1,23,7,2,30,18,28,1,30,21,13,2,6,30,4
16,2015,KAN,HC,32,6,2,6,15,27,9,2,12,6,1,3,7,29,30,26,1,16,7,3,5,7,8,3,16,27,26,9,15,2,4
17,2016,KAN,HC,32,3,1,4,28,20,13,8,14,15,13,16,13,25,19,24,7,16,24,7,1,24,26,5,24,1,27,18,15,1,16
18,2017,KAN,HC,32,8,2,10,12,5,6,1,23,9,15,1,1,17,7,10,2,6,28,15,7,22,25,27,23,11,27,29,15,9,25
19,2018,KAN,HC,32,3,6,2,11,1,1,7,23,16,7,6,4,9,3,1,12,1,31,24,8,17,27,29,31,4,32,31,22,9,12
20,2019,KAN,HC,32,5,7,4,10,6,5,3,27,23,13,20,19,15,5,5,2,2,17,7,10,17,26,17,29,24,23,8,8,5,5
21,2020,KAN,HC,32,1,9,5,6,5,4,2,13,9,22,8,9,5,4,3,1,13,11,6,18,21,27,10,28,16,5,4,3,13,9
