Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,303,4732,999,4.7,26,13,293,337,542,2961,22,13,5.1,160,416,1771,9,4.3,108,85,694,25,177,31.6,14.1,Own 30.7,2:39,5.8,26.7,1.65,211,75,35.5%,30,19,63.3%,48,24,50.0%
2023,428,6054,1105,5.5,18,9,364,425,652,4296,35,9,6.2,222,410,1758,13,4.3,111,107,810,31,175,41.1,9.7,Own 29.1,2:53,6.5,34.6,2.35,233,108,46.4%,34,19,55.9%,59,39,66.1%
2022,344,5125,1072,4.8,27,10,325,350,556,3057,22,17,4.9,186,446,2068,15,4.6,115,95,798,24,179,32.4,15.1,Own 28.9,2:47,6.1,28.5,1.78,223,86,38.6%,25,15,60.0%,55,29,52.7%
2021,385,5590,1076,5.2,16,4,358,409,589,3756,28,12,6.1,208,458,1834,18,4.0,115,92,824,35,180,37.2,8.9,Own 29.3,2:48,6.1,30.7,2.14,217,93,42.9%,29,14,48.3%,60,40,66.7%
2020,418,5810,1060,5.5,19,11,340,364,530,3798,27,8,6.6,209,481,2012,20,4.2,98,112,1036,33,196,37.8,9.2,Own 30.6,2:34,5.6,29.5,2.09,211,80,37.9%,18,7,38.9%,51,33,64.7%
2019,354,5307,967,5.5,20,9,289,348,571,3865,27,11,6.3,185,353,1442,13,4.1,76,115,959,28,188,33.5,10.1,Own 28.9,2:19,5.3,28.1,1.86,205,70,34.1%,18,11,61.1%,43,24,55.8%
2018,348,5859,1002,5.8,17,7,308,417,626,4308,22,10,6.4,215,332,1551,14,4.7,71,115,995,22,176,38.6,9.1,Own 27.6,2:35,5.9,33.1,1.98,201,71,35.3%,19,11,57.9%,56,25,44.6%
2017,295,4904,976,5.0,31,12,272,363,601,3637,24,19,5.7,177,337,1267,7,3.8,62,101,917,33,188,27.1,15.4,Own 28.2,2:19,5.3,26.1,1.47,205,66,32.2,18,4,22.2,38,21,55.3
2016,331,5484,978,5.6,26,10,300,333,553,3832,25,16,6.5,177,391,1652,10,4.2,89,99,837,34,186,33.9,13.4,Own 27.7,2:24,5.4,29.4,1.77,205,82,40.0%,18,8,44.4%,51,23,45.1%
2015,430,6426,1148,5.6,26,11,365,394,633,4273,36,15,6.4,239,478,2153,10,4.5,100,123,1049,26,203,36.0,11.8,Own 27.3,2:42,5.8,31.6,1.99,231,99,42.9%,9,6,66.7%,61,40,65.6%
2014,400,6009,1113,5.4,28,16,338,345,591,4238,30,12,6.6,211,473,1771,14,3.7,88,121,1089,39,212,31.1,12.7,Own 26.4,2:31,5.4,28.2,1.76,232,88,37.9%,12,3,25.0%,43,25,58.1%
2013,382,6304,1150,5.5,31,12,368,408,670,4636,25,19,6.6,239,443,1668,12,3.8,100,106,855,29,196,32.7,15.3,Own 27.1,2:44,6.0,31.8,1.73,231,93,40.3%,20,8,40.0%,49,26,53.1%
2012,444,5491,994,5.5,13,5,317,292,485,3470,33,8,6.7,178,479,2021,11,4.2,108,118,996,31,182,39.0,6.6,Own 31.8,2:41,5.6,30.0,2.14,203,83,40.9%,10,2,20.0%,55,30,54.5%
2011,328,5198,982,5.3,24,9,289,301,518,3397,27,15,6.0,173,414,1801,11,4.4,84,97,813,32,195,27.7,12.3,Own 28.6,2:21,5.2,26.6,1.61,211,75,35.5%,17,7,41.2%,47,28,59.6%
