Year,Age,Level,Employer,Role
1923,22,College,St. Thomas (MN),Line Coach
1923,22,NFL,Minneapolis Marines,Head Coach
1924,23,College,Georgia,Assistant Coach
1925,24,College,Georgia,Assistant Coach
1926,25,College,Georgia,Assistant Coach
1927,26,College,Georgia,Assistant Coach
1928,27,College,Georgia,Head Coach
1929,28,College,Georgia,Head Coach
1930,29,College,Georgia,Head Coach
1931,30,College,Georgia,Head Coach
1932,31,College,Georgia,Head Coach
1933,32,College,Georgia,Head Coach
1934,33,College,Georgia,Head Coach
1935,34,College,Georgia,Head Coach
1936,35,College,Georgia,Head Coach
1937,36,College,Georgia,Head Coach
1938,37,College,Mississippi,Head Coach
1939,38,College,Mississippi,Head Coach
1940,39,College,Mississippi,Head Coach
1941,40,College,Mississippi,Head Coach
1942,41,College,Mississippi,Head Coach
1944,43,College,Mississippi,Head Coach
1945,44,College,Mississippi,Head Coach
