Year,Age,Level,Employer,Role
1969,23,College,Oregon,Defensive Line
1970,24,College,Oregon,Defensive Line
1971,25,College,Oregon,Defensive Line
1972,26,College,Arkansas,Defensive Line
1973,27,College,Stanford,Asst OL/Freshman
1974,28,College,Stanford,Defensive Line
1975,29,College,Stanford,Defensive Line
1976,30,College,Stanford,Defensive Line
1977,31,College,California,Defensive Backs
1978,32,College,California,Linebackers
1979,33,College,California,DC/DL
1980,34,College,California,DC/DL
1981,35,CFL,Hamilton Tiger-Cats,DL/LB
1982,36,NFL,Baltimore Colts,DL/LB
1983,37,NFL,Baltimore Colts,DL/LB
1984,38,NFL,Indianapolis Colts,DL/LB
1985,39,NFL,San Diego Chargers,Defensive Line
1986,40,NFL,San Diego Chargers,Defensive Line
1987,41,NFL,San Diego Chargers,Defensive Line
1988,42,NFL,San Diego Chargers,Defensive Line
1989,43,NFL,San Diego Chargers,Defensive Line
1990,44,NFL,San Diego Chargers,Defensive Line
1991,45,NFL,Los Angeles Raiders,Linebackers
1992,46,NFL,Los Angeles Raiders,Defensive Coordinator
1993,47,NFL,Los Angeles Raiders,Defensive Coordinator
1995,49,NFL,Kansas City Chiefs,Defensive Coordinator
1996,50,NFL,Kansas City Chiefs,Defensive Coordinator
1997,51,NFL,Kansas City Chiefs,Defensive Coordinator
1998,52,NFL,Kansas City Chiefs,Defensive Coordinator
1999,53,NFL,Kansas City Chiefs,Head Coach
2000,54,NFL,Kansas City Chiefs,Head Coach
2001,55,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2002,56,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2003,57,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2004,58,NFL,Kansas City Chiefs,Defensive Coordinator
2005,59,NFL,Kansas City Chiefs,Defensive Coordinator
2006,60,NFL,Kansas City Chiefs,Defensive Coordinator
2007,61,NFL,Kansas City Chiefs,Defensive Coordinator
2008,62,NFL,Kansas City Chiefs,Defensive Coordinator
2009,63,NFL,Detroit Lions,Defensive Coordinator
2010,64,NFL,Detroit Lions,Defensive Coordinator
2011,65,NFL,Detroit Lions,Defensive Coordinator
2012,66,NFL,Detroit Lions,Defensive Coordinator
2013,67,NFL,Detroit Lions,Defensive Coordinator
2014,68,NFL,Detroit Lions,Sr. Coaching Assistant
2015,69,NFL,Detroit Lions,Sr. Coaching Assistant
2016,70,NFL,Detroit Lions,Sr. Coaching Assistant
2017,71,NFL,Detroit Lions,Sr. Coaching Assistant
