Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1992,RAI,DC,28,16,28,15,14,23,23,22,15,11,23,12,16,18,24,8,21,24,9,11,28,23,12,25,2,28,6,10,1,27,15
1993,RAI,DC,28,6,18,18,10,13,14,6,19,26,15,27,8,19,5,17,9,4,9,21,23,22,20,26,12,25,3,5,11,17,14
1995,KAN,DC,30,1,1,3,5,14,12,1,3,1,13,5,5,20,25,15,1,23,2,1,12,6,3,2,2,5,25,5,5,17,1
1996,KAN,DC,30,10,11,15,19,22,24,2,6,4,7,8,6,18,26,20,6,28,18,11,20,14,13,12,14,22,16,22,12,16,22
1997,KAN,DC,30,1,3,2,10,14,5,2,3,5,9,12,7,23,24,14,3,20,11,1,4,5,7,3,16,13,10,16,6,4,16
1998,KAN,DC,30,18,14,16,16,19,14,19,20,23,3,26,19,10,16,26,18,19,9,22,7,24,18,28,10,2,8,7,3,21,14
1999,KAN,HC,31,9,1,6,10,12,8,6,1,4,7,15,5,27,22,11,7,8,14,13,2,12,11,13,10,2,25,16,24,5,9
2000,KAN,HC,31,19,11,17,13,8,9,9,25,25,20,22,8,5,5,5,9,6,18,19,16,18,17,16,15,11,21,20,23,21,14
2004,KAN,DC,32,18,22,10,5,1,2,14,7,5,1,3,8,6,4,8,17,4,31,29,27,4,12,26,29,28,22,32,30,24,32
2005,KAN,DC,32,11,8,9,1,1,6,6,6,4,2,5,17,17,6,23,3,3,25,16,7,2,7,11,20,5,27,30,28,14,26
2006,KAN,DC,32,9,10,13,17,16,15,14,3,9,6,12,21,27,22,20,6,13,16,11,10,20,18,17,21,5,12,18,9,20,21
2007,KAN,DC,32,27,28,26,24,31,31,22,30,32,30,31,19,11,20,24,23,28,13,14,28,26,28,12,25,27,4,5,4,23,14
2008,KAN,DC,32,30,8,29,27,24,26,13,29,16,28,4,6,9,20,8,21,26,31,29,9,29,30,29,31,2,18,28,18,17,28
2009,DET,DC,32,31,32,31,29,26,27,32,24,24,22,28,7,6,21,24,32,28,32,32,24,22,25,26,21,4,21,32,32,30,32
2010,DET,DC,32,20,11,17,20,17,15,12,24,23,18,20,9,3,12,11,16,26,21,19,11,19,24,27,24,4,10,16,13,19,21
2011,DET,DC,32,7,4,8,9,5,4,11,31,29,23,13,8,1,4,3,19,12,23,23,3,10,23,6,30,3,28,22,22,5,8
2012,DET,DC,32,28,30,23,2,3,17,27,25,23,6,18,27,1,2,18,22,14,13,27,27,14,16,18,24,25,12,14,19,23,18
2013,DET,DC,32,20,28,13,5,6,13,30,14,17,10,22,29,5,3,8,20,8,16,15,21,4,6,8,20,25,19,23,13,17,20
