Year,Age,Level,Employer,Role
1928,22,High School,Paris HS (KY),Head Coach
1929,23,High School,Paris HS (KY),Head Coach
1930,24,High School,Paris HS (KY),Head Coach
1931,25,High School,Paris HS (KY),Head Coach
1932,26,High School,Paris HS (KY),Head Coach
1933,27,High School,Paris HS (KY),Head Coach
1934,28,High School,Paris HS (KY),Head Coach
1935,29,High School,Paris HS (KY),Head Coach
1936,30,High School,Paris HS (KY),Head Coach
1937,31,High School,Paris HS (KY),Head Coach
1938,32,High School,Paris HS (KY),Head Coach
1939,33,High School,Paris HS (KY),Head Coach
1940,34,High School,Paris HS (KY),Head Coach
1941,35,High School,Paris HS (KY),Head Coach
1942,36,High School,Paris HS (KY),Head Coach
1943,37,High School,Paris HS (KY),Head Coach
1944,38,U.S. Navy,Naval Station Great Lakes,Assistant Coach
1945,39,U.S. Navy,Naval Station Great Lakes,Assistant Coach
1946,40,AAFC,Cleveland Browns,Backfield Coach
1947,41,AAFC,Cleveland Browns,Backfield Coach
1948,42,AAFC,Cleveland Browns,Backfield Coach
1949,43,AAFC,Cleveland Browns,Backfield Coach
1950,44,NFL,Cleveland Browns,Backfield Coach
1951,45,NFL,Cleveland Browns,Backfield Coach
1952,46,NFL,Cleveland Browns,Backfield Coach
1953,47,NFL,Cleveland Browns,Backfield Coach
1954,48,College,Kentucky,Head Coach
1955,49,College,Kentucky,Head Coach
1956,50,College,Kentucky,Head Coach
1957,51,College,Kentucky,Head Coach
1958,52,College,Kentucky,Head Coach
1959,53,College,Kentucky,Head Coach
1960,54,College,Kentucky,Head Coach
1961,55,College,Kentucky,Head Coach
1962,56,NFL,Cleveland Browns,Offensive Backfield
1963,57,NFL,Cleveland Browns,Head Coach
1964,58,NFL,Cleveland Browns,Head Coach
1965,59,NFL,Cleveland Browns,Head Coach
1966,60,NFL,Cleveland Browns,Head Coach
1967,61,NFL,Cleveland Browns,Head Coach
1968,62,NFL,Cleveland Browns,Head Coach
1969,63,NFL,Cleveland Browns,Head Coach
1970,64,NFL,Cleveland Browns,Head Coach
1975,69,NFL,Cleveland Browns,Quarterbacks
1976,70,NFL,Cleveland Browns,Quarterbacks
