,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2015,45,Atlanta Falcons,NFL,16,8,8,0,.500,-3.8,-4.0,0.3,,,,,2,4,2,
1,2016,46,Atlanta Falcons,NFL,16,11,5,0,.688,8.5,10.5,-2.0,3,2,1,.667,1,8,6,NFC Champions
2,2017,47,Atlanta Falcons,NFL,16,10,6,0,.625,4.3,1.1,3.2,2,1,1,.500,3,4,2,
3,2018,48,Atlanta Falcons,NFL,16,7,9,0,.438,-0.1,2.5,-2.6,,,,,2,1,0,
4,2019,49,Atlanta Falcons,NFL,16,7,9,0,.438,-0.1,0.3,-0.4,,,,,2,5,0,
5,2020,50,Atlanta Falcons,NFL,3,0,3,0,.000,-1.7,5.3,-7.0,,,,,4,1,0,
