,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2013,SEA,DC,32,1,1,2,3,17,8,4,2,4,13,12,16,31,26,10,3,6,1,1,1,10,7,1,7,11,7,1,2,1,1
1,2014,SEA,DC,32,1,4,2,1,9,10,3,2,1,1,1,6,32,27,22,3,14,1,1,20,4,3,5,2,10,1,1,2,18,3
2,2015,ATL,HC,32,14,27,15,10,7,21,26,16,19,12,25,28,8,6,23,24,10,16,14,16,15,14,31,15,22,15,18,3,10,22
3,2016,ATL,HC,32,5,4,2,4,2,1,1,12,5,3,5,2,26,3,2,4,1,25,27,16,5,17,18,26,9,32,28,28,18,12
4,2017,ATL,HC,32,8,19,11,7,8,15,9,16,13,15,8,7,20,8,20,11,3,9,8,27,7,9,6,19,18,16,12,12,29,10
5,2018,ATL,HC,32,17,15,17,17,6,10,7,30,27,23,13,25,5,4,3,2,7,28,25,20,14,25,21,28,31,26,27,29,9,24
6,2019,ATL,HC,32,17,24,19,12,5,13,23,29,30,24,26,19,1,3,8,21,14,20,23,19,19,15,14,16,21,8,22,23,17,26
7,,ATL,DC,32,17,24,19,12,5,13,23,29,30,24,26,19,1,3,8,21,14,20,23,19,19,15,14,16,21,8,22,23,17,26
8,2020,ATL,HC,32,29,13,18,25,18,16,9,20,27,22,31,11,4,5,13,9,17,29,19,18,2,6,13,14,12,30,32,27,14,29
9,2021,DAL,DC,32,3,1,2,4,1,1,10,12,9,17,8,17,6,2,3,7,4,19,7,1,11,16,7,23,11,25,20,7,1,18
10,2022,DAL,DC,32,7,2,5,8,11,4,17,6,9,2,18,2,19,14,9,30,9,12,5,1,27,22,3,17,1,11,8,14,7,8
11,2023,DAL,DC,32,7,4,1,10,15,2,5,8,11,18,19,3,25,16,13,14,13,3,4,4,13,18,15,18,15,3,4,16,4,8
