,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1932,38,BOS,NFL,10,4,4,2,.500,-4.0,-4.0,-0.1,,,,,4,
1,1933,39,PHI,NFL,9,3,5,1,.375,-9.3,-1.5,-7.7,,,,,4,
2,1934,40,PHI,NFL,11,4,7,0,.364,-0.4,-1.2,0.8,,,,,3,
3,1935,41,PHI,NFL,11,2,9,0,.182,-11.0,-5.8,-5.3,,,,,5,
