Year,Age,Level,Employer,Role
1947,33,NFL,Chicago Bears,Assistant Coach
1948,34,NFL,Chicago Bears,Ends Coach
1949,35,NFL,Detroit Lions,Ends Coach
1950,36,NFL,Detroit Lions,Ends Coach
1951,37,NFL,Detroit Lions,Offensive Coach
1952,38,NFL,Detroit Lions,Offensive Coach
1953,39,NFL,Detroit Lions,Offensive Coach
1954,40,NFL,Detroit Lions,Offensive Coach
1955,41,NFL,Detroit Lions,Offensive Coach
1956,42,NFL,Detroit Lions,Offensive Coach
1957,43,NFL,Detroit Lions,Head Coach
1958,44,NFL,Detroit Lions,Head Coach
1959,45,NFL,Detroit Lions,Head Coach
1960,46,NFL,Detroit Lions,Head Coach
1961,47,NFL,Detroit Lions,Head Coach
1962,48,NFL,Detroit Lions,Head Coach
1963,49,NFL,Detroit Lions,Head Coach
1964,50,NFL,Detroit Lions,Head Coach
1965,51,NFL,Washington Redskins,Offensive Coordinator
1966,52,AFL,Miami Dolphins,Head Coach
1967,53,AFL,Miami Dolphins,Head Coach
1968,54,AFL,Miami Dolphins,Head Coach
1969,55,AFL,Miami Dolphins,Head Coach
