,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1957,DET,HC,12,2,3,6,4,3,6,7,8,4,8,2,3,1,4,3,7,9,5,7,2,4,5,7,4,3,7,5,6,3,6
1,1958,DET,HC,12,8,4,7,9,12,5,4,8,11,10,11,7,9,7,3,3,10,7,7,6,9,6,10,7,8,5,7,5,4,7
2,1959,DET,HC,12,9,9,9,9,10,11,11,8,5,6,6,9,4,9,12,12,12,4,8,7,4,5,5,3,3,4,8,10,8,8
3,1960,DET,HC,13,5,7,6,7,9,9,4,7,4,2,5,2,5,11,13,5,11,5,3,9,3,4,4,5,9,11,7,6,9,4
4,1961,DET,HC,14,4,8,7,5,9,11,9,7,8,5,9,7,6,7,12,10,9,3,3,7,4,2,9,2,12,8,6,1,2,6
5,1962,DET,HC,14,3,2,2,2,8,5,8,3,4,8,10,10,8,8,8,8,10,1,2,3,1,1,2,1,2,6,3,2,7,2
6,1963,DET,HC,14,8,9,5,7,8,5,11,9,10,10,8,5,5,6,4,12,8,4,4,8,1,2,4,3,11,6,5,5,5,4
7,1964,DET,HC,14,6,8,6,7,9,9,7,10,10,13,11,4,8,6,4,8,3,5,3,9,6,6,2,5,14,10,6,2,4,4
8,1965,WAS,OC,14,10,7,11,10,11,12,11,14,14,14,14,11,5,7,10,9,12,2,6,4,14,8,11,4,7,1,3,2,1,4
9,1966,MIA,HC,9,8,3,8,8,8,8,8,5,8,9,8,3,4,8,7,9,9,8,7,1,5,4,6,3,3,4,7,6,2,9
10,1967,MIA,HC,9,6,6,9,8,6,9,7,9,6,6,6,8,2,6,7,6,7,8,8,5,9,9,8,8,8,1,6,9,3,9
11,1968,MIA,HC,10,6,3,6,6,6,6,4,8,6,6,5,1,5,5,3,5,6,9,7,3,5,10,8,10,1,2,8,8,5,10
12,1969,MIA,HC,10,10,9,9,8,9,9,8,6,9,4,10,4,5,9,10,8,10,5,7,9,4,4,3,2,9,5,6,10,9,7
