Year,Age,Level,Employer,Role
1997,35,NFL,Chicago Bears,Defensive Quality Control
1998,36,NFL,Chicago Bears,Defensive Quality Control
1999,37,NFL,Philadelphia Eagles,Linebackers
2000,38,NFL,Philadelphia Eagles,Linebackers
2001,39,NFL,Philadelphia Eagles,Linebackers
2002,40,NFL,Philadelphia Eagles,Linebackers
2003,41,NFL,Philadelphia Eagles,Linebackers
2004,42,NFL,Chicago Bears,Defensive Coordinator
2005,43,NFL,Chicago Bears,Defensive Coordinator
2006,44,NFL,Chicago Bears,Defensive Coordinator
2007,45,NFL,San Diego Chargers,Linebackers
2008,46,NFL,San Diego Chargers,Defensive Coordinator
2009,47,NFL,San Diego Chargers,Defensive Coordinator
2010,48,NFL,San Diego Chargers,Defensive Coordinator
2011,49,NFL,Carolina Panthers,Head Coach
2012,50,NFL,Carolina Panthers,Head Coach
2013,51,NFL,Carolina Panthers,Head Coach
2014,52,NFL,Carolina Panthers,Head Coach
2015,53,NFL,Carolina Panthers,Head Coach
2016,54,NFL,Carolina Panthers,Head Coach
2017,55,NFL,Carolina Panthers,Head Coach
2018,56,NFL,Carolina Panthers,Head Coach
2019,57,NFL,Carolina Panthers,Head Coach
2020,58,NFL,Washington Football Team,Head Coach
2021,59,NFL,Washington Football Team,Head Coach
2022,60,NFL,Washington Commanders,Head Coach
2023,61,NFL,Washington Commanders,Head Coach
