,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2004,CHI,DC,32,26,23,28,32,32,32,27,19,25,19,26,32,24,32,32,14,32,21,13,16,27,25,8,16,13,17,15,17,15,16
1,2005,CHI,DC,32,5,11,12,25,29,26,17,9,8,17,7,17,30,31,30,14,30,2,1,6,18,11,4,9,23,26,5,1,2,1
2,2006,CHI,DC,32,2,4,2,10,15,2,28,5,15,11,23,21,17,14,8,27,14,5,3,1,5,6,2,11,1,31,11,9,2,1
3,2008,SDG,DC,32,17,11,7,21,11,2,7,20,20,19,19,11,25,7,1,5,1,25,15,17,10,11,8,14,18,31,31,27,11,18
4,2009,SDG,DC,32,2,6,5,12,10,4,2,19,31,11,32,3,23,5,5,4,1,16,11,19,12,20,7,24,15,17,11,18,20,13
5,2010,SDG,DC,32,14,23,5,1,1,2,17,9,15,4,22,28,14,2,6,9,1,1,10,23,8,4,20,5,29,3,1,5,14,1
6,2011,CAR,HC,32,23,13,20,11,7,5,11,14,3,1,1,5,23,13,13,21,10,28,27,17,21,25,29,25,14,6,24,25,20,32
7,2012,CAR,HC,32,18,16,18,8,12,18,10,11,9,3,9,17,26,16,24,8,5,10,18,18,12,14,12,18,8,15,13,13,23,12
8,2013,CAR,HC,32,3,6,4,12,26,18,4,7,11,13,16,2,30,29,15,13,20,2,2,6,1,2,1,12,15,17,6,3,5,5
9,2014,CAR,HC,32,19,13,23,12,16,19,13,8,7,21,13,19,19,19,15,8,22,10,21,10,9,16,21,27,6,20,11,15,14,10
10,2015,CAR,HC,32,1,1,1,5,11,1,8,1,2,1,10,15,27,24,3,8,9,6,6,1,3,4,17,7,2,32,11,7,1,2
11,2016,CAR,HC,32,25,21,25,25,19,15,27,7,10,10,20,23,20,21,19,28,20,21,26,7,6,6,10,9,9,28,29,20,4,20
12,2017,CAR,HC,32,5,16,12,14,19,12,14,3,4,7,10,7,27,28,18,25,19,7,11,16,2,3,3,11,7,15,18,22,24,17
13,2018,CAR,HC,32,17,15,16,12,10,14,19,12,4,6,1,4,15,16,14,25,16,15,19,14,8,12,15,23,12,9,18,27,15,26
14,2019,CAR,HC,32,26,29,29,23,19,20,31,24,14,4,6,28,2,20,31,30,31,23,31,17,25,29,32,32,24,12,13,8,8,14
15,2020,WAS,HC,32,17,23,14,13,30,25,29,25,26,13,28,24,9,25,28,26,30,2,4,7,16,13,10,11,21,4,2,2,5,2
16,2021,WAS,HC,32,22,24,25,24,21,23,20,10,12,21,18,17,21,21,20,21,23,22,25,21,12,8,11,9,11,18,29,32,22,28
17,2022,WAS,HC,32,16,26,21,6,20,24,17,4,12,29,28,6,20,21,16,27,23,3,7,26,9,11,5,16,17,4,4,23,28,10
18,2023,WAS,HC,32,29,32,32,31,24,25,29,32,27,15,7,20,1,18,16,30,27,32,32,23,23,27,17,26,13,23,32,32,27,31
