Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2007,JAX,OC,32,5,6,7,8,7,6,4,2,2,4,3,19,27,17,9,1,7,12,10,11,6,11,17,17,18,20,15,11,4,11
2008,JAX,OC,32,25,25,24,22,20,24,13,18,18,10,17,18,11,15,24,12,23,17,21,31,14,13,15,13,32,4,24,27,17,30
2009,JAX,OC,32,21,13,25,22,18,24,7,12,10,6,6,26,23,19,27,4,18,23,24,19,22,19,14,12,17,9,27,26,16,30
2010,JAX,OC,32,15,31,24,23,15,18,26,3,3,9,5,21,31,27,11,25,17,28,27,30,13,22,29,30,31,7,28,26,23,32
2011,JAX,OC,32,26,9,26,29,32,28,11,4,12,23,23,10,28,32,31,17,32,6,11,11,16,9,20,5,7,11,8,9,13,14
2012,ATL,OC,32,1,5,5,14,8,7,7,26,29,13,29,1,8,6,5,12,4,24,5,5,10,21,24,29,13,14,23,1,5,22
2013,ATL,OC,32,26,24,25,26,14,20,21,32,32,21,24,25,3,7,11,19,17,27,27,24,26,31,18,31,11,5,21,29,29,32
2014,ATL,OC,32,23,11,24,23,8,12,13,27,24,17,21,9,3,5,11,16,7,32,27,6,24,21,32,16,6,23,32,5,12,32
2015,TAM,OC,32,22,22,25,7,5,20,22,8,5,15,2,28,22,17,22,22,8,10,26,16,29,11,20,2,9,7,16,25,21,19
2016,TAM,HC,32,11,13,23,27,18,18,24,7,24,29,29,13,16,16,8,27,18,23,15,3,22,22,18,22,6,10,22,16,4,26
2017,TAM,HC,32,25,16,18,18,9,18,26,26,27,25,27,28,3,4,10,20,10,32,22,7,20,23,30,24,2,14,32,12,15,31
2018,TAM,HC,32,26,31,23,9,3,12,32,22,29,23,31,15,4,1,3,32,2,27,31,22,18,24,29,20,16,12,26,30,26,30
2019,ATL,OC,32,17,24,19,12,5,13,23,29,30,24,26,19,1,3,8,21,14,20,23,19,19,15,14,16,21,8,22,23,17,26
2020,ATL,OC,32,29,13,18,25,18,16,9,20,27,22,31,11,4,5,13,9,17,29,19,18,2,6,13,14,12,30,32,27,14,29
