,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,272,5264.0,1051.0,5.0,42.0,16,298.0,333,564,3594,24,26,5.9,175.0,441,1670,8,3.8,100.0,101,919,23.0,,,,,,,,,,,,,,,,,
1,buf,260,4101.0,952.0,4.3,44.0,20,251.0,240,433,2282,15,24,4.9,120.0,486,1819,14,3.7,109.0,97,805,22.0,,,,,,,,,,,,,,,,,
2,chi,264,4907.0,1003.0,4.9,31.0,14,285.0,238,451,2892,20,17,5.8,149.0,506,2015,10,4.0,111.0,129,1109,25.0,,,,,,,,,,,,,,,,,
3,cin,312,4804.0,995.0,4.8,42.0,22,286.0,284,491,3124,22,20,5.9,154.0,469,1680,13,3.6,111.0,106,809,21.0,,,,,,,,,,,,,,,,,
4,cle,310,5626.0,1053.0,5.3,32.0,10,340.0,336,536,3865,23,22,6.8,197.0,485,1761,12,3.6,105.0,96,766,38.0,,,,,,,,,,,,,,,,,
5,clt,387,5546.0,1080.0,5.1,34.0,17,338.0,260,476,3336,21,17,6.6,164.0,574,2210,20,3.9,140.0,98,775,34.0,,,,,,,,,,,,,,,,,
6,crd,350,5384.0,1116.0,4.8,34.0,14,311.0,287,531,3325,23,20,5.8,176.0,547,2059,17,3.8,115.0,101,919,20.0,,,,,,,,,,,,,,,,,
7,dal,311,5279.0,996.0,5.3,47.0,20,286.0,231,484,3210,21,27,6.1,160.0,469,2069,15,4.4,98.0,106,989,28.0,,,,,,,,,,,,,,,,,
8,den,323,5245.0,1041.0,5.0,28.0,12,303.0,270,448,3125,20,16,6.4,158.0,554,2120,10,3.8,125.0,101,850,20.0,,,,,,,,,,,,,,,,,
9,det,272,4533.0,955.0,4.7,34.0,11,265.0,256,462,2934,14,23,5.8,143.0,449,1599,9,3.6,100.0,98,815,22.0,,,,,,,,,,,,,,,,,
10,gnb,371,5782.0,1059.0,5.5,27.0,14,316.0,259,460,3383,19,13,6.8,166.0,565,2399,19,4.2,136.0,109,872,14.0,,,,,,,,,,,,,,,,,
11,kan,336,5315.0,1096.0,4.8,43.0,15,328.0,278,523,3109,25,28,5.6,179.0,536,2206,17,4.1,136.0,82,617,13.0,,,,,,,,,,,,,,,,,
12,mia,305,5224.0,1062.0,4.9,45.0,17,309.0,290,505,3206,21,28,6.0,185.0,530,2018,13,3.8,107.0,108,923,17.0,,,,,,,,,,,,,,,,,
13,min,308,5856.0,1060.0,5.5,38.0,14,330.0,283,499,3400,24,24,6.4,170.0,531,2456,15,4.6,135.0,111,914,25.0,,,,,,,,,,,,,,,,,
14,nor,487,6218.0,1102.0,5.6,24.0,12,360.0,255,445,3112,31,12,6.6,155.0,630,3106,28,4.9,178.0,79,690,27.0,,,,,,,,,,,,,,,,,
15,nwe,325,4762.0,984.0,4.8,34.0,10,270.0,266,458,2886,28,24,5.7,141.0,482,1876,12,3.9,118.0,92,833,11.0,,,,,,,,,,,,,,,,,
16,nyg,425,5752.0,1060.0,5.4,41.0,23,336.0,255,448,3245,22,18,6.8,160.0,584,2507,31,4.3,156.0,108,862,20.0,,,,,,,,,,,,,,,,,
17,nyj,395,5615.0,1080.0,5.2,32.0,9,348.0,337,544,3664,27,23,6.4,198.0,508,1951,20,3.8,127.0,90,872,23.0,,,,,,,,,,,,,,,,,
18,oti,251,4612.0,932.0,4.9,39.0,13,259.0,246,454,2801,16,26,5.7,147.0,444,1811,8,4.1,94.0,101,763,18.0,,,,,,,,,,,,,,,,,
19,phi,222,4443.0,1032.0,4.3,35.0,10,270.0,265,543,2825,16,25,4.8,157.0,445,1618,8,3.6,87.0,87,789,26.0,,,,,,,,,,,,,,,,,
20,pit,313,5134.0,1036.0,5.0,40.0,14,302.0,280,532,3372,25,26,6.1,171.0,486,1762,9,3.6,101.0,93,806,30.0,,,,,,,,,,,,,,,,,
21,rai,306,5038.0,1079.0,4.7,52.0,17,319.0,296,524,3312,17,35,5.7,181.0,501,1726,19,3.4,108.0,102,922,30.0,,,,,,,,,,,,,,,,,
22,ram,289,4546.0,1011.0,4.5,42.0,17,281.0,245,510,2601,23,25,4.6,141.0,445,1945,13,4.4,112.0,83,778,28.0,,,,,,,,,,,,,,,,,
23,sdg,327,4691.0,1057.0,4.4,38.0,18,284.0,300,519,2849,18,20,4.9,156.0,478,1842,18,3.9,101.0,104,880,27.0,,,,,,,,,,,,,,,,,
24,sea,408,5177.0,1038.0,5.0,34.0,11,301.0,267,462,3110,28,23,6.4,147.0,550,2067,17,3.8,129.0,103,876,25.0,,,,,,,,,,,,,,,,,
25,sfo,415,5969.0,1082.0,5.5,34.0,17,341.0,327,495,3751,29,17,7.1,185.0,556,2218,20,4.0,137.0,92,826,19.0,,,,,,,,,,,,,,,,,
26,tam,341,5405.0,1088.0,5.0,28.0,13,313.0,328,516,3304,17,15,6.1,168.0,548,2101,20,3.8,126.0,117,1077,19.0,,,,,,,,,,,,,,,,,
27,was,293,4695.0,1020.0,4.6,45.0,12,298.0,187,392,2171,17,33,5.0,127.0,585,2524,16,4.3,144.0,90,766,27.0,,,,,,,,,,,,,,,,,
