,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Milwaukee Badgers,2,7,0,15th of 22,,41,66,-25,Bryan,,,,,15,1,11,1,1,13,1,22,-2.8,1.1,-1.7,-2.8,1.1
1,1925,NFL,Milwaukee Badgers,0,6,0,16th of 20,,7,191,-184,Bryan,,,,,19,1,20,1,1,20,1,20,-30.7,6.6,-24.0,-3.8,-20.2
2,1924,NFL,Milwaukee Badgers,5,8,0,12th of 18,,142,188,-46,Erickson,,,,,5,1,13,1,1,11,1,18,-3.5,2.5,-1.1,2.0,-3.0
3,1923,NFL,Milwaukee Badgers,7,2,3,3rd of 20,,100,49,51,Conzelman,,,,,8,1,6,1,1,6,1,20,4.3,-0.2,4.0,0.5,3.6
4,1922,NFL,Milwaukee Badgers,2,4,3,11th of 18,,51,71,-20,"Garrett,Conzelman",,,,,12,1,10,1,1,11,1,18,-2.2,0.4,-1.8,-2.2,0.4
