Year,Age,Level,Employer,Role
1957,25,College,Univ. of Denver,Assistant Coach
1958,26,College,Oklahoma,Assistant Coach
1959,27,College,Oklahoma,Assistant Coach
1960,28,College,Navy,Assistant Coach
1961,29,College,Auburn,Assistant Coach
1962,30,College,Houston,Assistant Coach
1963,31,College,Houston,Assistant Coach
1964,32,College,Houston,Assistant Coach
1967,35,NFL,New Orleans Saints,Linebackers
1968,36,NFL,New Orleans Saints,Linebackers
1969,37,ACFL,Richmond Roadrunners,Head Coach
1970,38,NFL,New Orleans Saints,Head Coach
1971,39,NFL,New Orleans Saints,Head Coach
1972,40,NFL,New Orleans Saints,Head Coach
