,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1991,DAL,OC,28,5,14,10,13,9,7,5,16,13,12,14,4,14,8,14,4,7,17,17,25,7,8,12,14,21,25,23,11,22,20
1,1992,DAL,OC,28,2,7,2,1,4,2,4,4,5,2,9,2,12,5,5,6,3,1,5,18,1,1,11,3,13,16,5,8,17,4
2,1993,DAL,OC,28,1,8,2,2,4,2,4,6,2,2,3,18,24,7,13,1,3,10,2,17,10,11,5,18,11,21,10,4,17,5
3,1994,WAS,HC,28,26,27,25,27,17,13,26,23,24,27,22,15,11,11,4,27,15,26,28,23,28,27,28,6,27,4,20,16,13,27
4,1995,WAS,HC,30,24,6,21,18,18,18,14,13,7,11,8,4,22,20,25,20,18,18,21,7,24,29,29,29,3,13,7,12,17,10
5,1996,WAS,HC,30,10,4,8,23,9,8,1,13,7,1,10,2,27,15,28,1,2,28,13,16,28,30,29,29,26,25,20,3,11,15
6,1997,WAS,HC,30,14,14,11,13,16,15,18,12,21,16,23,2,10,11,9,25,12,16,8,11,26,28,19,26,10,13,3,4,13,6
7,1998,WAS,HC,30,20,24,27,19,15,17,15,27,18,10,7,21,4,13,10,8,23,24,28,25,28,28,30,28,21,10,5,11,21,10
8,1999,WAS,HC,31,7,4,8,11,2,2,7,10,9,1,4,11,16,6,4,4,4,30,24,5,19,27,25,31,13,28,26,21,6,16
9,2000,WAS,HC,31,17,16,16,6,11,24,21,15,19,12,20,14,12,10,19,25,10,4,7,11,15,22,6,21,7,4,2,4,13,5
10,2001,SDG,OC,31,26,13,13,8,11,14,17,18,20,11,20,10,13,11,24,17,11,11,16,13,16,7,11,1,14,20,20,23,12,17
11,2002,MIA,OC,32,11,15,5,7,15,12,17,1,2,3,4,22,31,26,24,12,13,3,4,11,8,5,4,6,25,10,8,13,5,7
12,2003,MIA,OC,32,8,10,12,19,24,17,27,8,17,14,27,25,30,26,20,21,17,10,3,6,11,5,10,2,5,24,19,2,7,16
13,2004,OAK,HC,32,26,29,31,29,17,18,25,32,32,19,20,23,4,8,11,28,13,30,31,30,31,22,30,7,25,15,30,27,29,31
14,2005,OAK,HC,32,26,18,26,24,21,23,6,31,29,17,22,5,6,10,12,9,19,27,25,29,30,25,25,19,8,9,18,9,32,23
15,2006,SFO,OC,32,21,23,29,27,26,24,23,19,6,18,2,29,30,29,25,15,22,26,32,18,22,19,27,16,10,19,26,27,22,25
16,2007,SDG,HC,32,5,1,5,19,20,5,7,7,7,2,8,6,26,26,15,15,16,14,5,1,12,16,12,17,2,23,14,11,1,8
17,2008,SDG,HC,32,17,11,7,21,11,2,7,20,20,19,19,11,25,7,1,5,1,25,15,17,10,11,8,14,18,31,31,27,11,18
18,2009,SDG,HC,32,2,6,5,12,10,4,2,19,31,11,32,3,23,5,5,4,1,16,11,19,12,20,7,24,15,17,11,18,20,13
19,2010,SDG,HC,32,14,23,5,1,1,2,17,9,15,4,22,28,14,2,6,9,1,1,10,23,8,4,20,5,29,3,1,5,14,1
20,2011,SDG,HC,32,13,25,11,6,6,5,20,18,16,7,14,10,9,6,8,25,5,16,22,23,20,20,3,20,30,3,13,27,13,28
21,2012,SDG,HC,32,18,14,16,25,31,20,17,21,27,31,31,21,22,24,11,15,24,9,16,11,8,6,8,5,4,22,18,23,16,15
22,2013,CLE,OC,32,26,25,27,15,18,27,22,30,27,32,23,9,1,11,11,24,27,9,23,24,27,18,17,8,25,26,8,21,20,4
23,2014,MIN,OC,32,20,18,18,24,27,20,6,18,14,14,11,1,22,28,29,26,27,14,11,25,24,25,11,24,27,5,7,17,18,14
24,2015,MIN,OC,32,6,10,9,21,29,16,4,4,4,4,4,7,32,31,31,5,25,13,5,19,14,17,3,21,16,15,12,11,17,12
25,2016,MIN,OC,32,17,4,15,18,28,23,7,25,32,26,32,24,12,18,21,2,21,3,6,7,14,20,3,17,4,10,3,11,12,2
26,2018,CAR,OC,32,17,15,16,12,10,14,19,12,4,6,1,4,15,16,14,25,16,15,19,14,8,12,15,23,12,9,18,27,15,26
27,2019,CAR,OC,32,26,29,29,23,19,20,31,24,14,4,6,28,2,20,31,30,31,23,31,17,25,29,32,32,24,12,13,8,8,14
