Year,Age,Level,Employer,Role
1975,23,College (FBS),Oregon,Graduate Assistant
1976,24,College (FBS),USC,Wide Receivers
1977,25,College (FBS),USC,Wide Receivers
1978,26,College (FBS),USC,Wide Receivers
1979,27,College (FBS),USC,Wide Receivers
1980,28,College (FBS),USC,Defensive Backs
1981,29,College (FBS),USC,Quarterbacks
1982,30,College (FBS),USC,Quarterbacks
1983,31,College (FBS),USC,Quarterbacks
1984,32,College (FBS),USC,Offensive Coordinator
1985,33,NFL,Los Angeles Rams,Tight Ends
1986,34,NFL,Los Angeles Rams,Tight Ends
1987,35,NFL,Los Angeles Rams,Wide Receivers/Tight Ends
1988,36,NFL,Los Angeles Rams,Wide Receivers/Tight Ends
1989,37,NFL,Los Angeles Rams,Wide Receivers/Tight Ends
1990,38,NFL,Los Angeles Rams,Wide Receivers/Tight Ends
1991,39,NFL,Dallas Cowboys,Offensive Coordinator/QBs
1992,40,NFL,Dallas Cowboys,Offensive Coordinator/QBs
1993,41,NFL,Dallas Cowboys,Offensive Coordinator/QBs
1994,42,NFL,Washington Redskins,Head Coach
1995,43,NFL,Washington Redskins,Head Coach
1996,44,NFL,Washington Redskins,Head Coach
1997,45,NFL,Washington Redskins,Head Coach
1998,46,NFL,Washington Redskins,Head Coach
1999,47,NFL,Washington Redskins,Head Coach
2000,48,NFL,Washington Redskins,Head Coach
2001,49,NFL,San Diego Chargers,Offensive Coordinator
2002,50,NFL,Miami Dolphins,Offensive Coordinator
2003,51,NFL,Miami Dolphins,Offensive Coordinator
2004,52,NFL,Oakland Raiders,Head Coach
2005,53,NFL,Oakland Raiders,Head Coach
2006,54,NFL,San Francisco 49ers,Offensive Coordinator
2007,55,NFL,San Diego Chargers,Head Coach
2008,56,NFL,San Diego Chargers,Head Coach
2009,57,NFL,San Diego Chargers,Head Coach
2010,58,NFL,San Diego Chargers,Head Coach
2011,59,NFL,San Diego Chargers,Head Coach
2012,60,NFL,San Diego Chargers,Head Coach
2013,61,NFL,Cleveland Browns,Offensive Coordinator
2014,62,NFL,Minnesota Vikings,Offensive Coordinator
2015,63,NFL,Minnesota Vikings,Offensive Coordinator
2016,64,NFL,Minnesota Vikings,Offensive Coordinator
2018,66,NFL,Carolina Panthers,Offensive Coordinator
2019,67,NFL,Carolina Panthers,Offensive Coordinator
2024,72,NFL,Las Vegas Raiders,Senior Advisor
