,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1994,42,Washington Redskins,NFL,16,3,13,0,.188,-6.1,0.3,-6.4,,,,,5,,,
1,1995,43,Washington Redskins,NFL,16,6,10,0,.375,-1.9,-0.8,-1.2,,,,,3,,,
2,1996,44,Washington Redskins,NFL,16,9,7,0,.563,1.8,2.3,-0.4,,,,,3,,,
3,1997,45,Washington Redskins,NFL,16,8,7,1,.531,1.3,-0.6,1.8,,,,,2,,,
4,1998,46,Washington Redskins,NFL,16,6,10,0,.375,-7.5,-1.5,-6.0,,,,,4,,,
5,1999,47,Washington Redskins,NFL,16,10,6,0,.625,2.9,6.8,-3.9,2,1,1,.500,1,7,3,
6,2000,48,Washington Redskins,NFL,13,7,6,0,.538,1.0,-2.9,3.8,,,,,3,2,1,Fired after week 14
7,2004,52,Oakland Raiders,NFL,16,5,11,0,.313,-4.3,-0.6,-3.7,,,,,4,6,2,
8,2005,53,Oakland Raiders,NFL,16,4,12,0,.250,-2.8,-1.2,-1.6,,,,,4,4,1,
9,2007,55,San Diego Chargers,NFL,16,11,5,0,.688,8.8,4.3,4.5,3,2,1,.667,1,7,1,
10,2008,56,San Diego Chargers,NFL,16,8,8,0,.500,5.0,5.0,0.0,2,1,1,.500,1,8,0,
11,2009,57,San Diego Chargers,NFL,16,13,3,0,.813,6.6,6.4,0.2,1,0,1,.000,1,8,3,
12,2010,58,San Diego Chargers,NFL,16,9,7,0,.563,4.8,3.2,1.6,,,,,2,7,2,
13,2011,59,San Diego Chargers,NFL,16,8,8,0,.500,0.9,2.7,-1.8,,,,,2,4,2,
14,2012,60,San Diego Chargers,NFL,16,7,9,0,.438,-2.3,-2.0,-0.4,,,,,2,3,1,
