,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1923,NFL,Oorang Indians,1,10,0,18th of 20,,50,257,-207,Thorpe,,,,,13,1,18,1,1,18,1,20,-18.8,6.5,-12.4,0.9,-13.2
1,1922,NFL,Oorang Indians,3,6,0,11th of 18,,69,190,-121,Thorpe,,,,,10,1,15,1,1,15,1,18,-13.4,9.1,-4.3,3.3,-7.7
